,PAYMENT-DAY,QUANT-ADDITIONAL-CARDS,POSTAL-ADDRESS-TYPE,SEX,MARITAL-STATUS,QUANT-DEPENDANTS,EDUCATION-LEVEL,FLAG-RESIDENCIAL-PHONE,RESIDENCE-TYPE,MONTHS-IN-RESIDENCE,FLAG-MOBILE-PHONE,FLAG-EMAIL,PERSONAL-MONTHLY-INCOME,OTHER-INCOMES,FLAG-VISA,FLAG-MASTERCARD,FLAG-DINERS,FLAG-AMERICAN-EXPRESS,FLAG-OTHER-CARDS,QUANT-BANKING-ACCOUNTS,QUANT-SPECIAL-BANKING-ACCOUNTS,PERSONAL-ASSETS-VALUE,QUANT-CARS,COMPANY,FLAG-PROFESSIONAL-PHONE,MONTHS-IN-THE-JOB,OCCUPATION-TYPE,FLAG-HOME-ADDRESS-DOCUMENT,FLAG-RG,FLAG-CPF,FLAG-INCOME-PROOF,PRODUCT,FLAG-ACSP-RECORD,AGE,class-label
0,5.0,0.0,1.0,0,1.0,0.0,0.0,N,1.0,10.0,N,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,N,N,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N,0,0
1,5.0,0.0,1.0,0,1.0,0.0,0.0,Y,1.0,40.0,N,0.0,800.7559,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,N,N,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N,1,0
2,1.0,0.0,1.0,0,1.0,0.0,0.0,Y,1.0,0.0,N,0.0,351.02637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Y,Y,0.0,2.0,0.0,0.0,0.0,0.0,1.0,N,0,0
3,10.0,0.0,1.0,1,2.0,0.0,0.0,Y,1.0,8.0,N,1.0,190786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,N,0.0,2.0,0.0,0.0,0.0,0.0,1.0,N,0,0
4,1.0,0.0,1.0,1,1.0,0.0,0.0,Y,1.0,11.0,N,1.0,457.63486,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N,1,0
5,25.0,0.0,1.0,1,2.0,14.0,0.0,N,1.0,1.0,N,1.0,234.38925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,Y,0.0,2.0,0.0,0.0,0.0,0.0,1.0,N,1,0
6,10.0,0.0,1.0,0,1.0,14.0,0.0,Y,1.0,3.0,N,1.0,789.9969,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N,1,0
7,10.0,0.0,1.0,1,2.0,3.0,0.0,Y,1.0,7.0,N,1.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,N,0.0,2.0,0.0,0.0,0.0,0.0,1.0,N,1,0
8,10.0,0.0,1.0,0,2.0,0.0,0.0,Y,1.0,10.0,N,1.0,979.56104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,N,0.0,2.0,0.0,0.0,0.0,0.0,1.0,N,1,0
9,10.0,0.0,1.0,0,2.0,0.0,0.0,Y,1.0,3.0,N,1.0,435.06232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,N,0.0,5.0,0.0,0.0,0.0,0.0,2.0,N,1,0
10,10.0,0.0,1.0,0,2.0,14.0,0.0,Y,1.0,40.0,N,1.0,546.7012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Y,N,0.0,1.0,0.0,0.0,0.0,0.0,1.0,N,1,1
11,10.0,0.0,1.0,0,7.0,0.0,0.0,N,1.0,2.0,N,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,N,0.0,2.0,0.0,0.0,0.0,0.0,1.0,N,1,0
12,15.0,0.0,1.0,0,1.0,0.0,0.0,Y,1.0,19.726587,N,1.0,575.02374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,Y,0.0,5.0,0.0,0.0,0.0,0.0,1.0,N,0,0
13,10.0,0.0,1.0,0,1.0,0.0,0.0,Y,1.0,5.0,N,1.0,392.5227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,N,0.0,5.0,0.0,0.0,0.0,0.0,1.0,N,1,1
14,10.0,0.0,1.0,0,2.0,1.0,0.0,Y,1.0,15.0,N,1.0,1127.6693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,N,0.0,1.0,0.0,0.0,0.0,0.0,1.0,N,0,0
15,1.0,0.0,1.0,1,2.0,1.0,0.0,Y,1.0,0.0,N,1.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,N,0.0,4.0,0.0,0.0,0.0,0.0,1.0,N,1,0
16,1.0,0.0,1.0,1,1.0,0.0,0.0,Y,1.0,12.0,N,1.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Y,Y,0.0,5.0,0.0,0.0,0.0,0.0,1.0,N,1,0
17,10.0,0.0,1.0,0,2.0,1.0,0.0,N,1.0,25.0,N,0.0,1791.5304,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Y,N,0.0,4.0,0.0,0.0,0.0,0.0,1.0,N,1,0
18,25.0,0.0,1.0,1,1.0,0.0,0.0,Y,1.0,15.0,N,1.0,476.11404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Y,Y,0.0,2.0,0.0,0.0,0.0,0.0,1.0,N,1,1
19,10.0,0.0,1.0,0,1.0,0.0,0.0,Y,1.0,2.0,N,1.0,626.6186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,N,0.0,2.0,0.0,0.0,0.0,0.0,1.0,N,0,1
20,25.0,0.0,1.0,0,1.0,0.0,0.0,Y,5.0,0.0,N,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Y,Y,0.0,5.0,0.0,0.0,0.0,0.0,1.0,N,1,0
21,10.0,0.0,1.0,1,2.0,0.0,0.0,N,1.0,1.0,N,1.0,398.24234,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,Y,0.0,4.0,0.0,0.0,0.0,0.0,1.0,N,1,0
22,10.0,0.0,1.0,1,2.0,0.0,0.0,Y,1.0,26.0,N,0.0,190786.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,N,N,0.0,2.0,0.0,0.0,0.0,0.0,1.0,N,1,0
23,15.0,0.0,1.0,0,7.0,1.0,0.0,Y,1.0,1.0,N,1.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,N,0.0,4.0,0.0,0.0,0.0,0.0,1.0,N,1,0
24,1.0,0.0,1.0,1,7.0,2.0,0.0,Y,1.0,8.0,N,1.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Y,Y,0.0,2.0,0.0,0.0,0.0,0.0,2.0,N,0,0
