age,workclass,education,edu-num,marital-status,occupation,relationship,race,sex,income
30, Self-emp-not-inc, 1st-4th,11, Widowed, ?, Own-child, Amer-Indian-Eskimo, Female, >50K
32, ?, Some-college,11, Divorced, ?, Unmarried, Other, Male, >50K
32, Private, 1st-4th,11, Never-married, Tech-support, Unmarried, Other, Male, <=50K
30, Local-gov, Assoc-acdm,10, Divorced, ?, Own-child, Black, Female, >50K
37, State-gov, Masters,12, Divorced, Other-service, Own-child, Black, Female, >50K
30, Self-emp-not-inc, Doctorate,10, Never-married, Tech-support, Not-in-family, White, Male, >50K
40, Self-emp-not-inc, Some-college,11, Divorced, Priv-house-serv, Wife, Other, Female, >50K
27, Private, 5th-6th,12, Never-married, Exec-managerial, Not-in-family, Black, Female, <=50K
40, State-gov, 5th-6th,11, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male, <=50K
36, Local-gov, Doctorate,9, Divorced, Other-service, Not-in-family, White, Female, >50K
32, Self-emp-inc, Doctorate,12, Married-civ-spouse, Sales, Husband, White, Female, <=50K
34, Private, 11th,11, Married-AF-spouse, Exec-managerial, Not-in-family, Black, Female, <=50K
47, State-gov, HS-grad,12, Married-AF-spouse, Other-service, Husband, Black, Female, >50K
31, Self-emp-inc, 7th-8th,12, Never-married, Craft-repair, Not-in-family, White, Female, >50K
34, Self-emp-not-inc, Some-college,12, Married-spouse-absent, Handlers-cleaners, Other-relative, Black, Male, >50K
36, State-gov, Prof-school,10, Married-civ-spouse, Other-service, Own-child, Black, Female, <=50K
35, ?, Masters,11, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female, <=50K
37, Without-pay, Assoc-acdm,9, Married-AF-spouse, Adm-clerical, Husband, White, Male, >50K
38, Self-emp-not-inc, 9th,12, Never-married, Handlers-cleaners, Husband, White, Female, >50K
29, Private, 9th,10, Separated, Farming-fishing, Not-in-family, Black, Male, <=50K
37, Private, Masters,10, Married-civ-spouse, Other-service, Own-child, White, Male, >50K
28, Private, Assoc-acdm,11, Never-married, Prof-specialty, Not-in-family, White, Male, <=50K
43, ?, Prof-school,9, Widowed, Armed-Forces, Unmarried, White, Male, >50K
33, Private, Masters,12, Never-married, Adm-clerical, Husband, White, Male, >50K
41, Private, Preschool,10, Married-civ-spouse, Other-service, Own-child, White, Female, <=50K
34, Self-emp-inc, HS-grad,10, Never-married, Protective-serv, Other-relative, White, Male, >50K
51, Local-gov, HS-grad,8, Married-civ-spouse, Adm-clerical, Husband, White, Male, <=50K
43, Without-pay, HS-grad,9, Married-civ-spouse, ?, Not-in-family, White, Female, <=50K
41, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Male, <=50K
32, Private, Doctorate,11, Never-married, Transport-moving, Husband, White, Male, <=50K
36, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Male, <=50K
50, Private, Preschool,11, Married-civ-spouse, ?, Husband, Other, Female, <=50K
26, Private, Bachelors,13, Married-civ-spouse, Priv-house-serv, Not-in-family, White, Male, <=50K
33, Private, Some-college,12, Never-married, Handlers-cleaners, Not-in-family, White, Male, <=50K
27, Private, Assoc-acdm,12, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male, <=50K
41, Local-gov, HS-grad,11, Never-married, Prof-specialty, Not-in-family, White, Male, <=50K
37, Private, 5th-6th,9, Married-civ-spouse, Other-service, Not-in-family, White, Female, <=50K
35, Private, Bachelors,12, Never-married, Prof-specialty, Not-in-family, White, Male, <=50K
28, Private, 10th,12, Never-married, Craft-repair, Not-in-family, White, Male, <=50K
33, Private, HS-grad,12, Never-married, Craft-repair, Not-in-family, White, Female, <=50K
41, Private, Bachelors,15, Married-AF-spouse, Farming-fishing, Wife, White, Male, <=50K
32, Local-gov, Some-college,13, Separated, Craft-repair, Not-in-family, White, Female, <=50K
52, Self-emp-not-inc, 1st-4th,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, <=50K
29, Self-emp-inc, Prof-school,14, Never-married, Exec-managerial, Unmarried, White, Female, <=50K
21, Private, Masters,12, Separated, Adm-clerical, Not-in-family, White, Male, <=50K
36, Private, Bachelors,15, Never-married, Farming-fishing, Not-in-family, White, Male, <=50K
