age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,class-label
39,Private,134067,Some-college,13,Never-married,Sales,Not-in-family,White,Female,6968,48,34,United-States,0
30,Private,245668,Some-college,11,Never-married,Other-service,Husband,White,Male,3482,48,49,United-States,0
25,Private,170315,Some-college,12,Never-married,Craft-repair,Own-child,White,Male,1365,323,38,United-States,0
61,Federal-gov,125826,Bachelors,13,Divorced,Other-service,Husband,White,Male,3006,254,33,United-States,0
29,Private,231928,Some-college,13,Divorced,Sales,Not-in-family,White,Female,2366,11,25,United-States,0
23,Private,316974,12th,13,Married-civ-spouse,Other-service,Husband,White,Male,1459,504,28,United-States,1
60,Private,139941,Some-college,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,220,93,48,United-States,1
53,Self-emp-not-inc,377286,12th,11,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,7542,1191,44,Ireland,1
27,Private,297572,Bachelors,16,Married-civ-spouse,Tech-support,Husband,White,Male,3910,657,60,United-States,1
62,Private,167611,Bachelors,13,Married-civ-spouse,Priv-house-serv,Husband,White,Male,3310,34,53,United-States,1
27,Private,160004,Some-college,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,526,9,64,United-States,0
56,Private,117076,Assoc-voc,13,Married-civ-spouse,Craft-repair,Husband,White,Male,12063,514,60,United-States,1
47,Self-emp-not-inc,166096,5th-6th,12,Married-civ-spouse,Sales,Husband,White,Female,8932,287,31,United-States,0
46,Self-emp-not-inc,58034,HS-grad,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,6453,85,50,United-States,1
63,Self-emp-inc,227302,Bachelors,16,Divorced,Prof-specialty,Husband,White,Female,6784,73,35,United-States,1
26,Private,77444,Masters,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,45,119,53,United-States,1
45,Private,23966,Bachelors,15,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,6116,197,58,United-States,1
40,Private,303384,HS-grad,11,Married-civ-spouse,Craft-repair,Husband,White,Male,6352,402,58,United-States,1
42,Private,294506,Assoc-voc,8,Divorced,Machine-op-inspct,Own-child,Black,Male,336,39,54,United-States,1
