age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,class-label
29,Private,53032,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,59,United-States,0
17,Federal-gov,47838,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,36,United-States,0
20,Private,259662,9th,9,Never-married,Adm-clerical,Own-child,White,Female,1,0,20,United-States,0
45,Private,308557,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,1,40,United-States,0
27,Private,200115,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
31,Private,135661,12th,8,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States,0
24,Private,94152,HS-grad,9,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,40,Vietnam,0
20,Private,133257,Some-college,10,Never-married,Sales,Own-child,White,Female,2,0,20,United-States,0
54,Private,428149,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Male,7,0,40,United-States,1
50,Self-emp-not-inc,83395,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1737,40,United-States,0
28,Private,191944,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0
28,Private,332660,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,8,1,40,Hungary,0
53,State-gov,106678,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1,29,United-States,0
28,State-gov,200030,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,32,United-States,0
50,Private,155693,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,1
58,Private,216461,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,99,United-States,0
52,Self-emp-inc,88953,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,96465,1,75,United-States,0
34,Without-pay,37072,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,0,1,40,United-States,0
26,State-gov,52513,HS-grad,9,Never-married,Farming-fishing,Own-child,Amer-Indian-Eskimo,Male,0,0,31,United-States,0
23,State-gov,129847,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
47,Private,169479,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,13,1,47,United-States,1
