age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,class-label
54.0,Private,181824.05,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1
54.0,Private,20947.293,Some-college,10.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,1
53.0,Local-gov,200823.36,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,United-States,0
22.0,Local-gov,252203.3,HS-grad,9.0,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,45.0,United-States,0
17.0,Private,109178.74,Some-college,13.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,20.0,United-States,0
33.780544,Private,239537.1,HS-grad,9.0,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,0
45.0,Private,236832.67,Assoc-acdm,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,38.0,United-States,1
46.0,Self-emp-inc,335297.6,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1
23.609901,Self-emp-inc,128618.93,HS-grad,9.0,Divorced,Prof-specialty,Other-relative,White,Male,0.0,0.0,60.0,United-States,1
33.0,Private,159212.23,Some-college,11.0,Divorced,Tech-support,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
45.0,Private,236589.86,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,36.0,United-States,1
43.0,State-gov,110043.555,Some-college,11.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,41.0,United-States,0
31.0,Private,42634.684,10th,6.0,Never-married,Handlers-cleaners,Own-child,Black,Male,0.0,0.0,40.0,United-States,0
90.0,State-gov,180011.44,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,Black,Female,0.0,0.0,40.0,United-States,0
38.0,Self-emp-not-inc,19214.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0
38.0,Private,121039.84,Assoc-acdm,11.0,Married-spouse-absent,Sales,Other-relative,White,Male,0.0,0.0,40.0,United-States,0
39.0,Private,153077.42,10th,9.0,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
43.0,Federal-gov,205703.89,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Female,0.0,0.0,35.0,United-States,1
24.0,Private,202431.55,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,0
40.0,Federal-gov,164868.42,Assoc-voc,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,45.0,United-States,0
44.0,Private,199006.47,Some-college,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,1
53.0,Private,1484705.0,Bachelors,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Female,0.0,0.0,35.0,United-States,1
90.0,Self-emp-not-inc,19214.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1
40.0,Private,190093.88,Some-college,10.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,1
36.0,Federal-gov,1484705.0,Some-college,11.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
17.0,State-gov,164544.69,HS-grad,9.0,Never-married,Protective-serv,Own-child,White,Female,0.0,0.0,30.0,United-States,0
47.0,Private,345789.6,Some-college,10.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,48.0,United-States,1
64.0,Private,155979.17,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,0
49.0,Local-gov,180399.64,Bachelors,13.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,0
40.610268,Local-gov,172976.16,HS-grad,9.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
25.0,Private,206923.22,Some-college,10.0,Never-married,Exec-managerial,Other-relative,White,Male,0.0,0.0,45.0,United-States,0
30.0,Local-gov,158766.97,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
30.0,Private,214827.6,Some-college,10.0,Divorced,Sales,Own-child,White,Female,0.0,0.0,40.0,United-States,0
36.0,Private,166846.62,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0
39.0,Private,335606.7,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,99999.0,0.0,40.0,United-States,0
20.0,Private,234965.94,Bachelors,13.0,Never-married,Tech-support,Own-child,White,Female,0.0,0.0,32.0,United-States,0
43.0,State-gov,198877.5,Some-college,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,0
47.0,Private,136269.69,Prof-school,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999.0,0.0,55.0,United-States,1
29.0,Private,155151.86,HS-grad,9.0,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
24.0,Private,123438.414,Some-college,11.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,2597.0,0.0,40.0,United-States,1
24.0,Self-emp-inc,174121.81,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1
29.0,Self-emp-not-inc,195542.45,Bachelors,11.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,20.0,United-States,0
42.0,Private,316360.22,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,0
47.0,Private,209514.86,Some-college,11.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1
35.0,Private,195600.0,HS-grad,9.0,Separated,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
33.0,Private,231372.61,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,99.0,United-States,1
18.0,Private,149800.73,Bachelors,13.0,Never-married,Prof-specialty,Other-relative,White,Female,0.0,0.0,55.0,United-States,1
24.0,Private,81280.375,Some-college,10.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,1.0,United-States,0
41.0,Private,210043.94,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
35.0,State-gov,177089.45,Doctorate,13.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
39.0,Local-gov,164880.25,HS-grad,9.0,Separated,Other-service,Other-relative,Other,Female,0.0,0.0,40.0,United-States,0
17.0,Private,236397.36,HS-grad,9.0,Never-married,Other-service,Other-relative,White,Female,0.0,0.0,40.0,Mexico,0
48.0,Private,198551.08,HS-grad,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0
32.0,Private,138054.95,HS-grad,9.0,Divorced,Exec-managerial,Other-relative,White,Male,0.0,0.0,45.0,United-States,0
17.0,Private,152332.75,HS-grad,9.0,Divorced,Craft-repair,Other-relative,White,Male,0.0,0.0,40.0,United-States,0
17.0,Self-emp-not-inc,151736.31,11th,4.0,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,1.0,United-States,0
46.0,Private,207434.67,Doctorate,13.0,Divorced,Exec-managerial,Not-in-family,White,Female,99999.0,0.0,45.0,United-States,1
