age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,class-label
0,Private,174339.38,HS-grad,9.0,Never-married,Other-service,Not-in-family,1,1,0.0,0.0,40.0,United-States,0
1,Private,123982.03,HS-grad,9.0,Never-married,Other-service,Not-in-family,1,1,0.0,0.0,20.0,United-States,0
1,Self-emp-not-inc,134943.06,Some-college,10.0,Never-married,Craft-repair,Not-in-family,1,1,0.0,0.0,1.0,United-States,0
1,Private,26602.209,9th,4.0,Separated,Sales,Not-in-family,1,1,0.0,0.0,50.0,United-States,0
1,Private,153992.58,Some-college,10.0,Never-married,Prof-specialty,Not-in-family,1,0,0.0,0.0,42.0,United-States,0
1,State-gov,170223.72,Bachelors,12.0,Never-married,Prof-specialty,Not-in-family,1,1,0.0,0.0,40.0,United-States,0
1,Private,87838.85,Some-college,10.0,Married-civ-spouse,Sales,Husband,1,1,0.0,0.0,40.0,United-States,0
1,Federal-gov,88789.64,Some-college,10.0,Never-married,Adm-clerical,Not-in-family,1,1,0.0,0.0,45.0,United-States,0
1,Private,111435.805,Bachelors,13.0,Married-spouse-absent,Prof-specialty,Husband,0,0,0.0,0.0,43.0,China,1
1,Private,102560.85,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,1,1,0.0,0.0,40.0,United-States,0
0,Private,174014.66,Some-college,10.0,Never-married,Other-service,Own-child,1,0,0.0,0.0,40.0,United-States,0
0,Private,132360.4,12th,9.0,Never-married,Other-service,Own-child,1,0,0.0,0.0,35.0,United-States,0
1,Private,19214.0,Prof-school,16.0,Married-civ-spouse,Prof-specialty,Husband,1,1,0.0,0.0,30.0,United-States,1
0,Private,244792.75,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,0,0,0.0,0.0,40.0,United-States,0
0,Private,207144.31,Some-college,9.0,Never-married,Sales,Own-child,1,0,0.0,0.0,1.0,United-States,0
