age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,class-label
62.0,Self-emp-not-inc,206704.52,Masters,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,99.0,United-States,0
53.0,Federal-gov,211905.77,Doctorate,13.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,1
32.0,Private,213304.73,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45.0,United-States,0
34.0,Private,359931.53,Some-college,10.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
28.0,Private,99941.664,Assoc-acdm,11.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
48.0,Private,179695.42,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,1.0,United-States,0
32.0,Private,169596.16,HS-grad,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,44.0,United-States,0
33.0,Private,214750.72,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1
47.0,Private,149678.75,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,10.0,United-States,1
47.0,Private,22389.102,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,1
52.0,Federal-gov,169167.66,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,99999.0,0.0,45.0,United-States,1
47.0,Self-emp-not-inc,13769.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,0
35.0,Self-emp-not-inc,189803.69,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,99.0,United-States,0
30.0,Private,187593.94,HS-grad,9.0,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
61.0,Self-emp-inc,193372.81,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,99.0,United-States,1
51.0,Private,143734.3,10th,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,0
50.0,Federal-gov,186123.52,Bachelors,13.0,Never-married,Adm-clerical,Other-relative,White,Male,99999.0,0.0,50.0,United-States,1
40.0,Private,111365.414,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0
33.0,Private,1226583.0,Some-college,13.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,43.0,United-States,0
29.0,Private,13769.0,HS-grad,9.0,Divorced,Sales,Unmarried,White,Female,0.0,0.0,18.0,United-States,0
53.0,Private,281895.78,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0
17.0,Self-emp-inc,472273.3,HS-grad,9.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,24.0,United-States,0
39.0,Local-gov,176889.33,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
37.0,Private,1226583.0,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
43.0,Private,261031.84,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,3770.0,40.0,United-States,1
28.0,Private,99118.35,11th,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,0
33.0,Private,241871.06,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,0
35.0,Local-gov,132190.98,Some-college,12.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40.0,United-States,0
43.0,State-gov,209601.17,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,38.0,United-States,0
17.0,Private,137844.06,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
17.0,Private,312778.97,Some-college,10.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,5.0,United-States,0
35.0,Private,237612.67,Some-college,10.0,Never-married,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,Dominican-Republic,0
42.0,Federal-gov,186846.75,HS-grad,9.0,Widowed,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
45.0,Private,95638.88,Bachelors,13.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,45.0,United-States,1
68.0,Private,174188.25,Some-college,11.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,0
17.0,Private,153513.6,Some-college,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,1.0,United-States,0
51.0,Private,32397.018,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,0
41.0,Self-emp-not-inc,199281.92,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,99.0,United-States,1
90.0,Self-emp-inc,233792.84,10th,5.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,50.0,United-States,0
36.0,Private,363385.88,11th,7.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
41.0,Private,100489.57,10th,9.0,Divorced,Transport-moving,Unmarried,White,Male,0.0,0.0,38.0,United-States,0
44.0,Local-gov,154368.17,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1
41.0,Local-gov,13769.0,Prof-school,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45.0,United-States,1
90.0,Local-gov,187310.05,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,1
48.0,Self-emp-not-inc,13769.0,Assoc-voc,10.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,0
23.0,Private,222713.78,11th,4.0,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,40.0,Ireland,0
17.0,Private,112332.53,HS-grad,9.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,40.0,United-States,0
40.0,Local-gov,124270.22,Bachelors,16.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
35.0,Private,13769.0,Assoc-voc,11.0,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
27.0,Private,88543.28,10th,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,0
42.513912,Private,199393.6,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,0
41.0,Private,321125.78,HS-grad,9.0,Separated,Machine-op-inspct,Unmarried,White,Female,0.0,0.0,40.0,United-States,0
30.0,Private,60561.344,Some-college,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,0
46.0,Private,169051.27,11th,1.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,0
29.0,Private,1226583.0,Some-college,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
23.0,Private,233689.19,Bachelors,11.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,3770.0,60.0,United-States,1
70.0,Self-emp-not-inc,93435.52,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1
38.0,Private,206360.14,Some-college,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,48.0,United-States,1
39.0,Private,301569.5,Assoc-voc,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,99999.0,0.0,40.0,Japan,1
35.0,Private,60536.812,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,55.0,United-States,0
39.0,Private,216927.88,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,35.0,United-States,0
36.0,Private,1226583.0,Assoc-acdm,13.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
32.0,Private,306618.4,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,50.0,United-States,0
37.0,Self-emp-inc,177018.89,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States,1
51.0,State-gov,20873.8,HS-grad,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999.0,0.0,40.0,United-States,1
68.27792,Private,123141.766,Bachelors,13.0,Married-civ-spouse,Sales,Husband,Non-White,Male,0.0,0.0,40.0,United-States,1
21.0,Private,233754.73,Some-college,10.0,Never-married,Craft-repair,Other-relative,White,Male,0.0,0.0,40.0,United-States,0
52.0,Private,13769.0,Some-college,11.0,Married-spouse-absent,Sales,Not-in-family,White,Female,99999.0,0.0,40.0,United-States,1
51.0,Private,168672.39,5th-6th,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,44.0,United-States,0
35.0,Private,461457.66,HS-grad,9.0,Separated,Other-service,Unmarried,White,Female,0.0,0.0,40.0,United-States,0
26.0,State-gov,119417.38,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,0
38.0,Private,212062.23,Prof-school,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,43.86774,United-States,1
24.0,Private,376736.2,Assoc-voc,10.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
31.0,Self-emp-inc,116678.41,Bachelors,12.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,1
43.0,Private,209007.45,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0
51.0,Self-emp-not-inc,100285.21,HS-grad,9.0,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
34.0,Private,238954.56,Assoc-voc,13.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,25.0,United-States,0
28.0,State-gov,284364.1,Bachelors,11.0,Never-married,Prof-specialty,Other-relative,White,Male,0.0,0.0,25.0,United-States,0
18.0,Private,1226583.0,5th-6th,1.0,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,38.0,Mexico,0
88.13893,Private,244298.5,HS-grad,9.0,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,44.0,United-States,0
45.0,Private,13769.0,Bachelors,13.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,1
40.0,Private,204124.83,HS-grad,9.0,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
39.0,Private,196385.03,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0
17.0,Private,236436.42,Some-college,10.0,Never-married,Machine-op-inspct,Other-relative,White,Male,0.0,0.0,40.0,Mexico,0
36.0,Private,112582.6,Some-college,10.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
40.0,Self-emp-not-inc,13769.0,Some-college,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,99.0,United-States,1
29.0,Private,400646.06,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
44.0,Local-gov,253677.92,Masters,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,1
40.0,Self-emp-not-inc,221076.3,Bachelors,13.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,1
51.0,Private,107583.79,12th,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
39.0,Local-gov,1226583.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,1
28.0,Self-emp-not-inc,297601.1,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,99.0,United-States,0
17.0,Federal-gov,254964.89,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,20.0,United-States,0
44.0,Private,485213.12,Bachelors,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,Canada,1
24.0,Private,13769.0,HS-grad,9.0,Never-married,Exec-managerial,Own-child,White,Male,0.0,0.0,84.0,United-States,0
17.0,Private,143766.27,HS-grad,9.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,40.0,United-States,0
62.0,Private,13769.0,Masters,16.0,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,1
47.0,Private,148794.86,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,0
39.0,Private,291636.1,HS-grad,1.0,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
36.0,Private,192733.62,10th,5.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,35.0,Poland,0
48.0,Self-emp-not-inc,270270.72,5th-6th,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,1.0,Mexico,0
34.0,Private,153471.4,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,0
39.0,Local-gov,315964.4,Some-college,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45.0,United-States,1
19.0,Private,317551.44,Bachelors,11.0,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
56.0,Self-emp-not-inc,199497.0,7th-8th,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,1
29.0,Private,279009.9,Masters,14.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,40.0,United-States,0
25.0,Private,191478.42,HS-grad,9.0,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,38.0,United-States,0
48.0,Private,257288.3,HS-grad,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
41.0,Private,54243.52,Bachelors,13.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0
37.572144,Private,226582.95,HS-grad,9.0,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
29.0,Private,95613.62,Some-college,10.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,60.0,United-States,1
57.0,Private,224210.48,HS-grad,9.0,Divorced,Other-service,Unmarried,White,Male,0.0,0.0,40.0,United-States,0
42.0,Self-emp-not-inc,13769.0,Bachelors,13.0,Never-married,Exec-managerial,Own-child,White,Male,0.0,0.0,50.0,United-States,0
48.0,State-gov,340356.12,Assoc-acdm,13.0,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
26.0,Private,195437.08,11th,9.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0
22.580406,Private,112055.305,12th,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,0
42.0,Private,174622.86,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,0
