One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Eleven,Twelve,Thirteen,FOurteen,Fifteen
1,26,8,3,13,4,3,1,1,2,1,3,190,2146,0
1,34,4,1,3,2,3,1,0,4,0,2,78,941,0
1,27,8,1,13,5,2,1,1,4,0,1,230,955,1
1,29,4,2,8,9,3,1,1,4,0,2,184,1672,1
0,28,4,1,11,5,2,1,0,5,0,1,225,3769,0
0,29,5,2,11,1,0,1,0,4,1,1,120,1858,1
1,28,5,1,4,4,2,0,1,3,1,1,286,299,1
1,34,6,2,11,8,1,1,1,3,1,2,217,3295,1
1,31,5,1,14,2,2,1,0,4,0,3,195,2396,1
0,35,3,1,9,3,3,1,0,5,1,1,227,649,1
0,26,5,1,1,9,2,1,0,2,1,3,178,3753,0
0,33,5,3,4,4,3,0,1,5,0,1,127,1084,1
0,31,5,3,4,2,3,0,0,2,1,1,195,623,1
1,33,4,1,8,5,3,1,1,2,0,2,255,1863,1
0,26,7,3,13,3,2,0,1,3,0,3,207,1135,0
1,35,5,3,4,3,2,1,0,4,1,1,104,1469,1
1,28,7,3,2,4,2,1,0,2,1,2,161,1074,0
0,32,5,1,8,7,3,1,1,3,0,1,154,2475,1
0,35,6,1,11,8,3,0,1,4,0,3,198,691,1
1,27,3,1,9,2,2,0,0,5,0,1,252,3571,1
1,30,3,2,10,7,2,1,1,2,1,1,301,395,1
1,34,9,1,2,8,2,1,1,2,1,2,261,1959,1
1,26,4,1,14,2,2,1,0,5,1,1,177,3989,0
1,32,4,3,12,8,3,1,0,3,0,2,226,1999,1
1,32,5,1,7,2,2,0,1,5,1,1,248,2543,1
1,29,7,2,14,9,2,1,1,5,0,2,171,3245,0
1,34,7,3,2,9,4,0,0,3,1,3,121,2410,1
0,29,4,1,7,9,2,0,1,4,1,3,145,1865,0
1,26,6,1,11,5,2,1,0,1,1,1,203,500,1
0,27,6,1,5,7,2,1,1,1,0,3,121,1560,0
1,30,6,1,14,9,2,0,1,3,1,2,101,953,1
1,32,5,2,9,2,1,1,0,4,1,3,218,2375,1
1,29,7,1,11,5,1,1,1,3,1,1,91,3126,0
1,30,6,1,12,5,1,1,1,4,1,2,312,583,1
1,28,5,3,2,8,2,0,1,3,1,3,217,1580,1
1,31,3,2,7,2,2,1,0,3,1,2,226,2355,1
1,29,4,1,11,3,3,0,0,4,0,1,193,1149,1
1,27,6,2,11,5,1,1,1,1,1,1,136,44,1
1,25,6,2,10,4,4,0,0,4,0,3,79,5274,0
1,29,4,3,7,4,2,1,0,5,1,2,255,735,0
1,28,3,2,7,2,1,0,0,3,1,1,270,1317,1
0,34,3,1,11,9,3,0,1,4,1,2,199,1815,1
1,30,5,1,3,4,2,1,1,5,1,2,186,223,0
1,33,4,1,2,4,3,0,1,2,1,3,208,2135,0
1,23,3,3,13,4,3,0,1,4,0,2,105,1269,0
0,27,0,2,9,1,2,0,0,3,1,1,321,291,0
0,35,4,3,4,4,3,1,1,5,1,1,192,1083,1
0,27,3,2,11,7,3,0,0,4,1,1,259,2425,1
1,31,7,2,13,8,2,1,0,3,0,2,81,76,1
0,33,5,3,3,4,5,1,0,4,1,1,104,899,0
1,36,5,2,8,3,2,0,0,3,0,2,212,2541,1
0,31,2,1,2,3,3,0,1,4,0,1,29,1983,1
1,29,2,2,6,8,3,0,1,4,0,1,189,1000,0
0,26,5,3,2,3,5,0,1,4,0,1,116,134,0
0,28,4,2,7,9,1,0,1,4,1,2,322,2988,1
1,32,4,2,12,4,2,1,1,3,0,2,174,688,1
0,31,4,3,2,4,2,0,1,3,1,2,103,27,1
1,35,3,2,11,3,4,1,0,4,1,1,287,1154,1
1,32,5,2,3,8,2,1,1,3,1,2,213,288,0
0,31,5,2,8,3,5,0,1,4,0,2,23,1020,0
0,28,3,1,4,1,3,0,0,5,0,1,271,1094,0
1,29,6,3,6,5,2,1,0,3,1,1,161,79,1
1,23,5,2,7,1,2,1,0,3,1,1,179,942,0
1,25,4,2,3,8,2,0,1,4,1,3,114,1640,0
0,32,4,2,5,4,1,0,0,5,1,3,178,2079,1
1,30,5,1,1,9,2,1,1,5,1,2,191,2778,0
1,22,3,1,10,4,3,0,1,4,1,1,106,1455,0
1,24,3,1,6,2,3,0,0,5,0,1,165,420,0
