age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,class-label
1,blue-collar,married,secondary,no,647,yes,yes,unknown,1,jun,273,1,52,2,failure,1
1,management,married,secondary,no,1502,yes,no,cellular,12,aug,563,3,146,2,failure,0
1,technician,married,secondary,no,-1474,yes,no,unknown,19,jul,345,4,43,1,unknown,1
1,management,married,tertiary,no,2495,yes,no,unknown,21,nov,554,0,227,6,success,1
0,admin.,married,primary,no,5970,no,no,telephone,40,apr,344,6,201,4,failure,1
1,unemployed,married,tertiary,no,3669,yes,no,cellular,17,oct,690,5,42,2,unknown,1
1,management,married,secondary,no,-110,no,no,cellular,16,jul,109,4,-167,0,unknown,0
1,self-employed,single,secondary,no,-1678,no,no,unknown,11,may,570,4,113,1,unknown,0
1,services,married,secondary,no,3539,no,no,cellular,12,apr,703,1,194,2,failure,0
1,blue-collar,married,secondary,no,3082,yes,yes,cellular,9,jul,638,1,67,1,unknown,1
1,blue-collar,single,secondary,no,1763,no,no,cellular,19,jul,-13,0,69,2,unknown,0
1,services,married,secondary,no,4273,yes,yes,unknown,13,may,281,1,26,0,unknown,0
1,blue-collar,married,secondary,no,194,no,yes,cellular,22,aug,-97,8,-45,0,unknown,0
1,blue-collar,married,secondary,no,-78,no,yes,cellular,21,jul,480,7,-141,-1,unknown,0
1,management,married,primary,no,1385,no,no,cellular,17,may,263,2,-77,-1,unknown,0
1,technician,single,secondary,no,1952,yes,no,unknown,16,may,-26,6,106,1,unknown,0
1,management,married,secondary,no,1541,no,no,cellular,12,nov,290,3,35,1,unknown,0
1,blue-collar,married,primary,no,-1571,yes,no,unknown,12,may,115,3,-27,0,unknown,0
1,student,married,secondary,no,-518,yes,no,cellular,12,may,24,2,105,1,failure,0
1,services,married,secondary,no,-3924,no,no,unknown,10,may,101,3,-9,0,unknown,0
1,unknown,married,secondary,no,1464,yes,no,cellular,9,may,240,6,40,1,unknown,0
1,student,single,secondary,no,1773,yes,no,unknown,23,jan,700,-2,95,1,unknown,0
1,services,married,secondary,no,-604,no,no,cellular,7,aug,213,0,27,1,unknown,0
1,blue-collar,married,secondary,no,2542,yes,no,unknown,6,may,255,-1,26,1,unknown,0
1,blue-collar,married,secondary,no,2480,no,no,unknown,26,may,386,3,-12,0,unknown,0
1,management,single,secondary,no,419,no,yes,cellular,7,jun,-12,-2,44,2,unknown,0
1,housemaid,married,secondary,no,1823,no,no,cellular,17,feb,721,3,111,2,failure,0
1,services,married,secondary,no,1938,no,no,unknown,13,jun,185,2,5,1,unknown,0
1,technician,married,secondary,no,3562,no,no,cellular,10,jun,201,-1,135,3,unknown,0
1,technician,single,secondary,no,1948,no,no,cellular,16,nov,5,3,108,3,unknown,0
1,technician,married,secondary,no,1172,no,no,unknown,17,jun,580,1,46,3,unknown,0
1,unemployed,married,primary,no,4801,yes,no,cellular,13,apr,248,2,170,3,failure,0
1,management,married,secondary,no,2376,no,no,cellular,0,nov,675,0,160,3,failure,1
1,services,married,secondary,no,-2599,yes,yes,unknown,15,jul,93,-1,2,0,unknown,0
1,management,single,secondary,no,3596,yes,no,cellular,16,may,668,1,105,3,failure,0
1,blue-collar,married,primary,no,1881,yes,no,unknown,17,may,531,3,41,1,unknown,0
1,technician,single,secondary,no,-215,yes,no,unknown,12,may,-81,2,-31,0,unknown,0
1,management,single,tertiary,no,2303,yes,no,cellular,10,jun,354,4,91,3,failure,0
1,technician,single,secondary,no,2941,yes,no,unknown,17,jun,466,4,15,2,success,0
1,entrepreneur,single,secondary,no,3549,yes,yes,unknown,20,jul,-12,5,19,0,unknown,0
1,management,single,tertiary,no,2687,no,no,cellular,1,feb,-52,1,-4,1,unknown,0
1,management,married,secondary,no,2361,no,yes,unknown,13,jul,73,3,-31,1,unknown,0
1,blue-collar,married,tertiary,no,684,no,no,telephone,10,aug,441,4,-2,1,unknown,0
1,technician,single,tertiary,no,1239,no,no,cellular,6,aug,388,3,6,1,unknown,0
1,blue-collar,single,primary,no,665,no,no,unknown,14,may,292,2,-11,1,unknown,0
1,services,married,secondary,no,1619,no,no,unknown,9,jun,-115,3,-13,1,unknown,0
1,retired,married,secondary,no,1160,no,no,cellular,8,jun,136,5,14,1,unknown,0
1,admin.,married,tertiary,no,4233,yes,no,unknown,13,jun,138,3,13,0,unknown,0
1,blue-collar,married,secondary,no,315,yes,yes,unknown,30,may,-16,9,6,1,unknown,0
1,admin.,married,secondary,no,-492,yes,no,unknown,12,jul,206,3,0,1,unknown,0
1,blue-collar,single,primary,no,1934,no,no,telephone,19,jul,405,5,-13,2,unknown,0
1,blue-collar,married,secondary,no,669,no,yes,cellular,-1,jul,484,1,6,1,unknown,0
1,admin.,married,secondary,no,917,no,no,cellular,15,jul,159,4,57,1,unknown,0
1,blue-collar,married,secondary,no,211,yes,no,unknown,22,may,320,2,-39,-1,unknown,0
1,housemaid,married,secondary,no,1417,yes,no,unknown,37,jul,351,2,-13,0,unknown,0
1,admin.,single,tertiary,no,1461,no,no,cellular,21,aug,170,4,55,1,unknown,0
1,services,married,primary,no,2421,yes,no,unknown,16,may,306,7,33,1,unknown,0
1,management,single,secondary,no,-221,yes,no,unknown,14,aug,220,4,-7,0,unknown,0
1,management,married,tertiary,no,-1374,no,no,cellular,26,aug,239,3,68,1,unknown,0
1,management,married,tertiary,no,-93,yes,no,cellular,15,may,24,1,49,2,unknown,0
1,services,married,secondary,no,1943,no,no,cellular,16,aug,226,3,93,2,failure,0
1,blue-collar,married,tertiary,no,2600,no,no,cellular,25,apr,276,3,76,2,failure,1
1,services,married,tertiary,no,-971,yes,no,cellular,0,aug,330,4,40,2,unknown,0
1,admin.,single,tertiary,no,2043,no,no,cellular,16,feb,238,1,147,4,failure,1
1,admin.,married,tertiary,no,-977,no,no,unknown,17,jul,246,2,-14,1,unknown,0
1,management,single,tertiary,no,896,no,no,cellular,23,jul,220,3,-4,1,unknown,1
1,technician,single,tertiary,no,1241,no,no,cellular,17,feb,350,3,-11,1,unknown,0
1,services,married,secondary,no,1315,no,yes,cellular,20,jul,231,5,1,0,unknown,0
1,management,single,tertiary,no,737,yes,no,cellular,11,feb,182,3,-2,1,unknown,0
1,blue-collar,married,primary,no,1129,yes,no,cellular,26,feb,320,6,-6,1,unknown,0
1,admin.,single,secondary,no,-228,no,no,cellular,24,jul,323,4,-3,1,unknown,0
1,management,married,secondary,no,1194,no,no,cellular,19,aug,132,6,11,0,unknown,0
1,technician,single,tertiary,no,1141,no,no,cellular,10,may,236,4,-10,1,unknown,0
1,admin.,single,secondary,no,258,yes,yes,cellular,37,aug,401,3,5,0,unknown,0
1,admin.,single,secondary,no,467,no,no,unknown,11,aug,255,-3,1,0,unknown,0
1,blue-collar,married,secondary,no,-906,yes,no,unknown,29,jan,293,0,-4,1,unknown,0
1,blue-collar,single,primary,no,2935,yes,no,cellular,18,may,412,0,8,1,unknown,0
1,services,married,tertiary,no,871,no,yes,cellular,16,jul,801,6,-11,1,unknown,0
1,technician,married,secondary,no,366,yes,no,cellular,14,aug,-63,1,6,1,unknown,0
1,services,single,unknown,no,2308,no,no,unknown,31,feb,487,4,5,0,unknown,0
1,services,married,tertiary,no,1868,yes,no,cellular,10,may,540,3,4,1,unknown,0
1,technician,single,unknown,no,134,yes,no,cellular,10,may,51,0,-5,0,unknown,0
1,blue-collar,married,primary,no,361,yes,yes,unknown,0,may,459,-1,4,1,unknown,0
1,services,married,tertiary,no,1795,yes,yes,cellular,17,may,368,6,9,0,unknown,0
1,blue-collar,single,primary,no,1805,yes,no,unknown,26,may,221,3,2,1,unknown,0
1,technician,single,secondary,no,-2993,yes,no,cellular,8,aug,-46,0,-6,0,unknown,0
1,blue-collar,married,primary,no,5317,yes,no,cellular,17,may,465,3,14,1,unknown,1
1,services,single,tertiary,no,5520,yes,no,cellular,16,may,312,5,11,1,unknown,0
1,blue-collar,married,primary,no,4726,no,no,cellular,18,jul,441,8,16,0,unknown,0
1,technician,married,secondary,no,333,no,yes,unknown,15,jul,279,4,-4,1,unknown,0
1,admin.,married,secondary,no,1545,no,yes,cellular,4,jun,124,1,0,1,unknown,0
1,services,married,secondary,no,1398,yes,yes,cellular,8,aug,379,3,6,0,unknown,0
1,blue-collar,single,secondary,no,2865,yes,no,cellular,15,jun,153,7,8,0,unknown,0
1,blue-collar,single,secondary,no,488,yes,no,cellular,7,may,59,3,0,0,unknown,0
1,blue-collar,single,secondary,no,4261,no,no,cellular,16,jan,333,7,18,0,unknown,0
1,management,single,tertiary,no,3639,no,no,cellular,6,aug,53,3,3,0,unknown,0
1,blue-collar,married,secondary,no,-2241,yes,no,cellular,15,may,410,4,10,0,unknown,0
1,blue-collar,married,secondary,no,955,no,no,cellular,16,apr,545,9,19,0,unknown,0
1,blue-collar,married,secondary,no,1560,yes,no,unknown,9,apr,60,4,0,0,unknown,0
1,management,married,tertiary,no,-4094,no,no,cellular,14,jul,498,4,5,0,unknown,0
1,blue-collar,married,tertiary,no,-281,yes,yes,unknown,24,may,224,4,-4,0,unknown,0
1,services,married,unknown,no,-3364,no,no,cellular,20,jan,180,6,8,0,unknown,0
1,blue-collar,married,secondary,no,2236,no,no,cellular,15,jun,633,4,6,0,unknown,1
1,management,married,tertiary,no,3964,no,no,cellular,18,aug,85,1,3,0,unknown,0
1,services,married,secondary,no,137,no,no,unknown,20,may,438,3,7,0,unknown,0
1,services,single,primary,no,-2155,yes,no,unknown,15,nov,69,2,-3,1,unknown,0
1,blue-collar,married,tertiary,no,-945,no,no,unknown,18,jun,174,2,8,0,unknown,0
1,blue-collar,single,secondary,no,5493,no,no,cellular,16,jun,617,1,9,0,unknown,0
1,management,single,secondary,no,-1289,no,yes,cellular,19,jul,281,1,37,0,unknown,0
1,blue-collar,married,secondary,no,1678,no,no,cellular,18,may,50,3,120,1,unknown,0
1,blue-collar,single,tertiary,no,-105,yes,no,cellular,0,may,210,-3,54,1,unknown,0
1,services,single,tertiary,no,4879,yes,no,telephone,27,feb,291,10,138,2,unknown,1
1,blue-collar,married,primary,no,2386,no,no,cellular,27,jan,331,4,-86,-1,unknown,0
1,retired,married,secondary,no,-721,no,no,cellular,26,jul,-644,3,40,1,unknown,0
1,technician,married,tertiary,no,2716,no,no,telephone,31,apr,646,5,51,1,unknown,0
1,student,married,secondary,no,1672,no,no,cellular,22,jul,326,4,-18,0,unknown,0
1,admin.,married,primary,no,1330,no,yes,unknown,20,jul,1068,3,24,1,unknown,0
1,blue-collar,married,tertiary,no,1018,yes,no,unknown,16,jun,203,4,79,2,unknown,0
1,blue-collar,married,secondary,no,510,no,yes,cellular,20,feb,434,2,125,2,unknown,0
1,admin.,married,tertiary,no,487,no,no,telephone,15,jan,316,2,-134,-1,unknown,0
1,services,married,tertiary,no,2074,no,no,cellular,19,apr,872,4,54,0,unknown,0
1,technician,married,primary,no,579,no,no,unknown,10,jul,1136,2,11,1,unknown,0
1,retired,married,secondary,no,182,no,no,cellular,17,jul,320,1,49,1,unknown,0
1,retired,married,secondary,no,-1335,no,no,cellular,18,jul,-47,-1,-36,0,unknown,0
1,technician,single,secondary,no,1179,yes,no,cellular,28,may,-212,2,13,1,unknown,0
