age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,class-label
1,services,married,secondary,no,2657,yes,no,unknown,20,mar,316,5,97,1,failure,0
1,services,single,tertiary,no,1924,no,no,cellular,19,aug,81,13,64,0,success,1
1,services,married,secondary,no,2337,yes,no,telephone,26,jul,217,5,95,2,failure,0
1,services,single,secondary,no,-4662,yes,yes,cellular,15,jul,230,7,37,0,unknown,0
1,management,married,secondary,no,216,yes,no,cellular,19,jul,562,3,115,1,unknown,0
1,admin.,married,tertiary,no,412,yes,yes,telephone,2,feb,378,1,42,1,success,1
1,management,married,tertiary,no,1053,yes,no,unknown,6,jun,288,6,185,4,success,0
1,blue-collar,married,secondary,no,3539,yes,no,unknown,19,may,673,1,81,2,failure,0
1,blue-collar,married,primary,no,2589,no,no,unknown,14,jun,417,2,70,0,unknown,0
1,retired,married,tertiary,no,-1219,no,yes,cellular,17,feb,196,8,110,2,success,0
1,admin.,married,secondary,no,6334,yes,no,cellular,28,jul,133,4,87,2,unknown,0
1,management,single,tertiary,no,1068,yes,yes,cellular,27,jul,238,5,30,2,unknown,0
1,entrepreneur,married,primary,no,1503,yes,yes,unknown,15,may,306,5,3,1,unknown,0
1,management,married,secondary,no,1570,yes,yes,cellular,20,jul,94,5,49,0,unknown,0
1,services,single,secondary,no,-1372,yes,no,cellular,7,aug,82,1,85,1,unknown,0
1,blue-collar,married,tertiary,no,2140,yes,no,unknown,1,apr,603,3,24,0,unknown,0
1,blue-collar,single,secondary,no,1629,no,no,unknown,11,aug,544,3,12,1,unknown,0
1,blue-collar,single,secondary,no,810,yes,no,unknown,23,may,31,3,0,1,unknown,0
1,technician,married,secondary,no,736,yes,yes,cellular,10,jul,482,3,107,2,unknown,0
1,management,married,tertiary,no,2812,yes,no,cellular,16,jul,151,1,85,1,unknown,0
1,blue-collar,married,tertiary,no,1207,yes,no,cellular,29,jul,181,2,110,1,unknown,0
1,blue-collar,single,tertiary,no,1464,no,yes,cellular,13,jul,72,6,95,2,unknown,1
1,blue-collar,married,secondary,no,1262,no,no,telephone,21,jun,295,4,85,2,unknown,1
1,retired,single,tertiary,no,-703,no,no,telephone,23,jun,385,2,87,1,unknown,1
1,blue-collar,single,secondary,no,188,yes,no,cellular,21,jul,378,4,26,1,unknown,0
1,blue-collar,married,tertiary,no,1125,no,no,cellular,19,sep,407,4,142,1,unknown,1
1,blue-collar,single,secondary,no,-345,yes,no,unknown,5,may,47,4,18,1,unknown,0
1,management,married,secondary,no,2827,no,no,cellular,25,nov,222,1,55,1,unknown,0
1,management,single,tertiary,no,1595,yes,yes,cellular,12,may,215,2,60,2,unknown,0
1,blue-collar,married,secondary,no,3129,yes,no,telephone,23,nov,129,3,98,1,failure,0
1,services,married,secondary,no,2421,yes,no,cellular,22,jul,454,3,102,2,unknown,0
1,management,married,secondary,no,-388,yes,no,unknown,15,may,675,5,76,1,unknown,0
1,blue-collar,single,primary,no,1154,yes,no,cellular,23,nov,268,4,123,3,failure,0
1,management,married,secondary,no,99,yes,no,unknown,19,apr,233,2,5,1,unknown,0
1,management,married,tertiary,no,-144,no,no,cellular,2,feb,219,3,-1,0,unknown,0
1,technician,married,tertiary,no,1610,yes,no,unknown,6,may,273,5,5,1,unknown,0
1,services,married,secondary,no,-136,yes,no,unknown,13,apr,125,3,3,1,unknown,0
1,management,married,tertiary,no,-201,yes,no,telephone,21,apr,93,4,7,1,unknown,0
1,services,married,secondary,no,573,yes,no,unknown,19,may,145,3,4,0,unknown,0
1,blue-collar,single,secondary,no,300,no,yes,cellular,17,may,276,3,2,0,unknown,0
1,technician,single,tertiary,no,4081,no,no,unknown,15,jun,264,4,62,1,unknown,0
1,technician,married,secondary,no,1056,yes,no,unknown,24,jun,375,3,37,1,unknown,0
1,blue-collar,married,secondary,no,3581,yes,no,cellular,9,nov,32,2,53,2,unknown,0
1,blue-collar,married,tertiary,no,547,yes,no,cellular,21,apr,135,6,57,2,failure,0
1,blue-collar,married,secondary,no,2291,yes,no,cellular,12,apr,294,3,59,2,failure,0
1,services,married,secondary,no,1249,no,no,unknown,7,may,292,4,20,1,unknown,0
1,technician,married,primary,no,2442,no,no,unknown,7,may,361,3,48,1,unknown,0
1,management,married,primary,no,-363,no,no,cellular,11,may,386,2,19,1,unknown,0
1,technician,married,secondary,no,1475,yes,yes,unknown,14,jul,248,3,29,1,unknown,0
1,blue-collar,married,secondary,no,1378,yes,no,cellular,13,may,451,3,7,0,unknown,0
1,management,married,tertiary,no,2514,no,no,cellular,16,aug,396,2,2,0,unknown,0
1,blue-collar,married,secondary,no,-753,yes,yes,cellular,14,nov,301,2,7,0,unknown,0
1,blue-collar,married,primary,no,1040,yes,no,cellular,15,may,403,3,8,0,unknown,0
1,management,single,tertiary,no,-514,yes,no,cellular,15,aug,431,2,12,0,unknown,0
1,admin.,single,primary,no,4543,no,no,cellular,1,aug,323,1,4,0,unknown,0
1,admin.,married,tertiary,no,2476,no,no,cellular,12,jul,337,4,6,0,unknown,0
1,blue-collar,married,primary,no,1049,yes,no,cellular,25,may,15,4,1,0,unknown,0
1,admin.,single,secondary,no,-1218,yes,no,cellular,14,may,587,2,5,0,unknown,0
1,services,married,secondary,no,3444,yes,no,cellular,26,may,378,4,6,1,unknown,0
1,management,single,secondary,no,831,no,no,cellular,17,aug,38,3,4,0,unknown,0
1,blue-collar,single,tertiary,no,1191,no,no,unknown,26,apr,153,2,3,0,unknown,0
1,management,married,secondary,no,-42,no,no,cellular,21,nov,197,2,3,0,unknown,0
1,management,married,primary,no,53,no,no,unknown,19,jun,385,3,6,0,unknown,0
1,management,single,secondary,no,2264,no,no,cellular,21,nov,174,3,-1,0,unknown,0
1,management,married,secondary,no,-649,no,no,telephone,14,nov,69,2,4,0,unknown,0
1,management,single,tertiary,no,-12,no,no,cellular,15,nov,136,2,5,0,unknown,0
1,management,married,primary,no,150,yes,yes,unknown,8,may,25,3,7,0,unknown,0
1,services,single,tertiary,no,-1527,no,no,cellular,19,jun,383,2,8,0,unknown,0
1,blue-collar,single,secondary,no,-497,yes,no,cellular,18,aug,305,3,12,0,unknown,0
1,technician,married,secondary,no,258,no,no,telephone,15,aug,210,1,11,0,unknown,0
1,services,married,secondary,no,793,yes,no,cellular,12,apr,167,3,6,0,unknown,0
1,management,married,secondary,no,1532,yes,no,cellular,18,aug,688,3,5,0,unknown,0
1,housemaid,married,secondary,no,834,no,no,cellular,10,nov,205,3,8,0,unknown,0
1,blue-collar,married,secondary,no,-403,yes,no,unknown,7,may,60,2,10,0,unknown,0
1,technician,single,secondary,no,-1009,yes,no,cellular,18,aug,89,3,17,0,unknown,0
1,admin.,single,tertiary,no,1651,no,no,unknown,10,may,135,4,2,0,unknown,0
1,services,single,secondary,no,139,no,yes,unknown,14,jul,331,3,4,0,unknown,0
1,blue-collar,single,tertiary,no,1272,yes,no,cellular,23,may,168,2,13,0,unknown,0
1,blue-collar,single,primary,no,439,yes,no,telephone,20,may,114,4,3,0,unknown,0
1,technician,married,secondary,no,-98,no,no,cellular,18,aug,448,2,13,0,unknown,0
1,blue-collar,married,secondary,no,-1162,no,no,cellular,24,jun,425,1,21,0,unknown,0
1,technician,single,primary,no,2219,yes,no,unknown,15,may,316,2,13,0,unknown,0
1,blue-collar,single,secondary,no,1308,no,no,cellular,14,may,158,4,1,0,unknown,0
1,technician,single,secondary,no,1333,no,no,telephone,31,may,582,3,12,0,unknown,0
1,services,single,secondary,no,-864,no,no,telephone,16,aug,190,2,11,0,unknown,0
1,management,married,secondary,no,2138,yes,no,unknown,21,may,559,2,4,0,unknown,0
1,blue-collar,single,secondary,no,372,yes,no,telephone,7,jun,323,2,14,0,unknown,0
1,admin.,married,secondary,no,528,yes,yes,unknown,12,may,621,2,1,1,unknown,0
1,management,married,secondary,no,373,no,no,cellular,16,may,656,2,5,0,unknown,0
1,blue-collar,single,secondary,no,615,no,no,unknown,13,may,147,2,2,0,unknown,0
1,services,married,secondary,no,946,yes,no,unknown,6,may,420,4,1,0,unknown,0
1,blue-collar,married,secondary,no,497,yes,no,unknown,15,jul,21,3,-1,0,unknown,0
1,technician,single,tertiary,no,496,yes,no,cellular,17,may,580,3,3,0,unknown,0
1,admin.,married,primary,no,436,yes,no,unknown,4,may,271,2,0,1,unknown,0
1,management,single,secondary,no,341,yes,no,unknown,6,may,443,2,6,1,unknown,0
1,management,single,secondary,no,71,no,no,cellular,24,may,739,5,0,1,unknown,0
1,blue-collar,single,tertiary,no,245,no,no,cellular,20,jul,230,2,4,0,unknown,0
1,services,single,tertiary,no,382,no,no,cellular,2,nov,352,2,8,1,unknown,0
1,blue-collar,married,secondary,no,474,no,no,cellular,26,may,230,3,-1,0,unknown,0
1,blue-collar,married,primary,no,2041,yes,no,unknown,14,may,339,2,13,0,unknown,0
1,technician,single,secondary,no,803,yes,no,cellular,24,jul,387,3,5,0,unknown,0
1,entrepreneur,married,tertiary,no,1891,yes,no,unknown,3,jun,133,1,15,1,unknown,0
1,technician,married,secondary,no,1617,yes,no,cellular,11,may,79,1,20,0,unknown,0
1,blue-collar,married,secondary,no,1715,yes,no,cellular,29,may,257,1,17,1,unknown,0
1,services,married,secondary,no,990,yes,no,cellular,27,may,336,3,3,0,unknown,0
1,management,married,primary,no,2123,no,no,cellular,12,may,197,1,17,0,unknown,0
1,blue-collar,married,secondary,no,281,no,yes,cellular,24,nov,175,3,6,1,unknown,0
1,blue-collar,single,secondary,no,52,yes,yes,cellular,23,jul,247,3,7,1,unknown,0
1,blue-collar,married,secondary,no,2090,yes,yes,unknown,19,may,545,3,12,1,unknown,0
1,admin.,single,secondary,no,2078,yes,no,cellular,17,jun,585,1,17,1,unknown,0
1,admin.,married,secondary,no,955,yes,no,cellular,3,may,219,2,7,0,unknown,0
1,housemaid,married,tertiary,no,-66,yes,no,unknown,13,jul,149,4,0,0,unknown,0
1,blue-collar,married,secondary,no,1610,yes,no,cellular,18,nov,696,4,2,1,unknown,0
1,management,married,tertiary,no,-155,yes,no,cellular,6,aug,69,3,4,0,unknown,0
1,technician,married,secondary,no,111,yes,no,cellular,20,aug,146,4,0,1,unknown,0
1,blue-collar,single,secondary,no,1417,no,no,cellular,21,jul,525,2,10,1,unknown,0
1,self-employed,single,tertiary,no,-448,no,yes,unknown,20,feb,240,5,-1,1,unknown,0
1,technician,married,secondary,no,1159,yes,no,telephone,17,nov,194,2,14,1,unknown,0
1,management,married,tertiary,no,749,yes,no,unknown,9,aug,170,4,4,0,unknown,0
1,self-employed,single,secondary,no,1210,yes,no,unknown,27,may,477,4,4,0,unknown,0
1,technician,married,secondary,no,956,yes,no,cellular,4,may,309,3,2,0,unknown,0
1,blue-collar,married,secondary,no,1089,yes,yes,cellular,7,jul,374,2,8,1,unknown,0
1,technician,married,secondary,no,866,yes,no,unknown,13,may,201,2,14,1,unknown,0
1,management,married,primary,no,853,no,no,unknown,28,nov,221,2,6,0,unknown,0
1,blue-collar,married,secondary,no,545,no,no,cellular,8,jul,438,3,-1,1,unknown,0
1,services,single,primary,no,443,yes,no,unknown,26,may,335,3,4,0,unknown,0
1,blue-collar,married,primary,no,446,no,no,unknown,30,jul,131,2,1,0,unknown,0
1,blue-collar,married,secondary,no,228,no,yes,cellular,8,jul,229,2,0,1,unknown,0
1,admin.,single,primary,no,288,no,no,unknown,4,aug,259,2,1,0,unknown,0
1,management,married,tertiary,no,411,yes,no,cellular,13,aug,118,3,2,1,unknown,0
1,management,single,tertiary,no,501,yes,yes,cellular,3,may,274,3,-1,0,unknown,0
1,technician,single,secondary,no,619,yes,no,unknown,21,may,261,2,-1,0,unknown,0
1,technician,single,secondary,no,411,yes,no,unknown,24,may,135,2,0,0,unknown,0
1,blue-collar,married,primary,no,408,no,yes,cellular,17,jul,342,3,3,0,unknown,0
1,management,single,primary,no,396,yes,no,cellular,3,aug,437,3,0,1,unknown,0
1,technician,married,secondary,no,565,yes,no,unknown,4,may,337,3,2,0,unknown,0
1,management,married,tertiary,no,240,no,no,cellular,21,aug,91,3,4,0,unknown,0
1,management,married,tertiary,no,622,yes,no,cellular,7,may,172,2,3,0,unknown,0
1,services,married,primary,no,667,yes,no,unknown,21,jul,467,2,4,0,unknown,0
1,management,married,tertiary,no,416,yes,no,cellular,12,aug,132,1,6,0,unknown,0
1,admin.,single,primary,no,558,no,no,unknown,8,may,310,2,1,0,unknown,0
1,admin.,single,secondary,no,440,yes,yes,unknown,17,may,365,3,1,0,unknown,0
