age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,class-label
1,blue-collar,married,secondary,no,-818,yes,no,cellular,22,oct,315,6,21,-1,unknown,0
1,housemaid,married,primary,no,6492,yes,no,cellular,12,jun,1107,0,268,4,failure,0
1,admin.,married,secondary,no,4414,yes,no,unknown,15,may,7,-2,73,0,unknown,0
1,services,married,secondary,no,3486,yes,no,unknown,19,jun,283,3,-7,-2,unknown,0
1,admin.,married,secondary,no,1575,yes,no,unknown,11,jun,355,4,-13,0,unknown,0
1,admin.,married,tertiary,no,1783,yes,no,telephone,2,jun,5,3,79,0,unknown,0
1,management,married,tertiary,no,4757,no,no,cellular,11,feb,21,3,80,1,unknown,1
1,services,married,tertiary,no,6343,yes,no,cellular,9,jun,424,2,214,1,failure,0
1,technician,married,secondary,no,-1379,yes,no,cellular,17,jul,484,2,85,0,unknown,0
0,self-employed,single,tertiary,no,231,no,no,cellular,19,may,56,0,232,3,failure,0
1,technician,married,secondary,no,-733,no,no,cellular,2,aug,265,2,-68,-1,unknown,0
1,admin.,married,secondary,no,-333,no,no,unknown,19,jul,171,5,41,0,unknown,0
1,management,married,primary,no,3650,yes,no,unknown,20,aug,11,1,-185,-1,unknown,0
1,management,married,tertiary,no,1967,yes,no,unknown,12,may,90,3,-83,0,unknown,0
1,management,single,tertiary,yes,1567,no,no,cellular,11,sep,-319,6,177,3,failure,0
1,blue-collar,married,secondary,no,1884,yes,no,unknown,12,may,343,0,-32,1,unknown,0
1,student,single,secondary,no,-1227,no,no,cellular,18,may,-196,2,92,1,unknown,0
1,admin.,single,secondary,no,2325,yes,no,cellular,9,aug,204,4,151,1,unknown,0
1,blue-collar,married,primary,no,1763,yes,no,unknown,14,may,462,6,-25,-1,unknown,0
1,management,single,tertiary,no,-3623,no,no,cellular,25,may,216,2,-71,-1,unknown,0
0,student,single,primary,no,3520,no,no,telephone,13,jun,490,6,35,1,unknown,1
1,management,married,tertiary,no,-2266,yes,no,unknown,5,may,371,0,-39,0,unknown,0
1,management,married,tertiary,no,-2089,no,no,cellular,4,aug,350,0,-40,-1,unknown,1
1,blue-collar,married,primary,no,602,no,no,cellular,22,jul,261,9,60,1,unknown,0
1,management,married,tertiary,no,4965,no,no,cellular,20,jul,291,1,-121,-1,unknown,0
1,services,single,secondary,no,-4132,yes,no,unknown,2,may,848,7,123,4,failure,1
1,technician,married,secondary,no,2542,yes,no,cellular,35,may,387,0,33,0,unknown,0
1,blue-collar,married,primary,no,4174,no,no,cellular,23,aug,177,3,142,1,unknown,1
1,admin.,married,primary,no,2164,no,no,cellular,19,aug,24,6,79,1,unknown,0
1,admin.,single,secondary,no,1618,no,no,cellular,2,aug,572,2,79,1,unknown,0
1,services,married,secondary,no,-1216,yes,no,unknown,19,jul,-39,8,-115,-2,unknown,0
1,admin.,married,tertiary,no,-5090,yes,no,cellular,2,may,334,2,-136,-1,unknown,0
1,blue-collar,single,primary,no,651,no,no,cellular,7,aug,149,0,-2,0,unknown,0
1,admin.,single,secondary,no,-1324,yes,no,cellular,0,jul,384,3,42,0,unknown,0
1,admin.,married,secondary,no,-177,yes,no,unknown,4,jun,-76,2,15,0,unknown,0
1,services,married,secondary,no,603,yes,no,unknown,9,may,241,4,28,0,unknown,0
1,admin.,married,tertiary,no,803,no,no,unknown,4,jun,191,8,40,1,unknown,0
1,admin.,married,secondary,no,6765,yes,no,unknown,10,may,352,3,7,1,unknown,0
1,technician,single,primary,no,-1549,yes,no,cellular,19,may,-65,0,63,-1,unknown,0
0,management,married,tertiary,no,1086,no,no,cellular,7,jul,261,7,24,0,unknown,0
0,blue-collar,married,tertiary,no,5659,yes,no,cellular,35,nov,33,4,172,1,unknown,0
1,blue-collar,married,secondary,no,3352,yes,no,unknown,3,may,401,3,87,2,unknown,0
