age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,class-label
1,Private,1184622.0,Masters,15.0,Married-civ-spouse,Exec-managerial,Husband,1,1,0.0,0.0,50.0,United-States,1
1,Private,151841.78,Some-college,10.0,Divorced,Sales,Unmarried,1,0,0.0,0.0,40.0,United-States,0
0,Self-emp-not-inc,70905.25,Assoc-voc,10.0,Married-civ-spouse,Craft-repair,Husband,1,1,0.0,0.0,45.0,United-States,1
1,Private,328251.7,HS-grad,9.0,Never-married,Other-service,Own-child,1,0,0.0,0.0,32.0,United-States,0
0,Self-emp-inc,216835.42,Bachelors,10.0,Never-married,Exec-managerial,Not-in-family,1,1,0.0,0.0,40.0,United-States,0
0,Private,97181.47,HS-grad,9.0,Never-married,Sales,Own-child,1,1,4655.277,0.0,40.0,United-States,0
1,Private,236809.86,Bachelors,13.0,Never-married,Sales,Own-child,1,0,0.0,0.0,32.0,United-States,0
0,Self-emp-not-inc,60560.24,Some-college,10.0,Widowed,Protective-serv,Own-child,1,0,0.0,0.0,40.0,United-States,0
1,Private,174130.53,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,1,0,0.0,0.0,40.0,United-States,0
1,Private,365631.56,HS-grad,9.0,Never-married,Adm-clerical,Own-child,1,0,0.0,0.0,30.0,United-States,0
1,Self-emp-not-inc,193405.03,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,1,1,0.0,0.0,50.0,United-States,1
1,Private,1184622.0,Bachelors,13.0,Never-married,Adm-clerical,Not-in-family,1,0,0.0,0.0,52.0,United-States,0
1,Federal-gov,147215.42,Assoc-voc,10.0,Married-civ-spouse,Craft-repair,Husband,1,1,0.0,0.0,40.0,United-States,1
0,Private,208982.44,Some-college,11.0,Married-civ-spouse,Sales,Husband,1,1,0.0,0.0,40.0,United-States,1
1,Local-gov,278107.34,Some-college,10.0,Never-married,Exec-managerial,Not-in-family,1,1,0.0,0.0,40.0,United-States,1
1,Private,199643.77,Assoc-voc,10.0,Married-civ-spouse,Other-service,Husband,1,1,0.0,0.0,40.0,United-States,0
1,Private,183954.1,Bachelors,11.0,Married-civ-spouse,Prof-specialty,Husband,1,1,0.0,0.0,45.0,United-States,0
1,Private,218774.25,10th,9.0,Never-married,Other-service,Unmarried,1,1,0.0,0.0,40.0,United-States,0
1,Private,153381.81,Some-college,11.0,Widowed,Exec-managerial,Not-in-family,0,1,0.0,0.0,50.0,United-States,1
1,Private,244806.94,HS-grad,9.0,Separated,Adm-clerical,Own-child,1,0,0.0,0.0,40.0,United-States,0
1,Private,181280.11,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,1,1,0.0,0.0,40.0,United-States,0
1,Private,13769.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,1,1,0.0,0.0,40.0,United-States,1
1,Private,109588.21,7th-8th,7.0,Married-civ-spouse,Priv-house-serv,Wife,1,0,99999.0,0.0,30.0,United-States,1
1,Self-emp-not-inc,1184622.0,Some-college,10.0,Divorced,Protective-serv,Unmarried,1,1,0.0,0.0,45.0,United-States,0
1,Private,133863.61,Bachelors,13.0,Never-married,Sales,Not-in-family,0,1,0.0,0.0,50.0,United-States,1
