LIMIT_BAL,SEX,EDUCATION,MARITAL,AGE,PAY0,PAY2,PAY3,PAY4,PAY5,PAY6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,class-label
135374,1,3,2,1,0,2,3,0,-1,0,4167,17521,-2634,-23654,-4396,-281,-7299,26733,5058,15950,-727,5583,0
311685,1,1,1,1,-1,-1,-1,-1,-1,-1,-65001,-91644,-27307,-46384,-62677,-55630,5587,17018,19534,-984,4117,5661,0
159321,1,0,2,1,2,0,8,-1,-1,0,14346,69657,-1103,27525,2008,11618,14644,9596,732,6971,-11180,1453,0
168775,0,1,2,1,4,0,-2,0,8,0,12309,45719,9704,18348,-25409,24258,-2105,-3949,-4387,-11266,-3881,2167,0
194022,0,2,1,1,0,4,3,0,0,2,112017,47082,92577,95893,84724,95320,12343,-16,-2598,-3481,2546,5315,0
392661,1,2,2,1,0,0,2,0,8,0,173293,76449,64671,61047,93341,79648,972,34890,6625,15640,7742,16126,0
199617,1,1,2,1,2,6,-2,-2,-1,0,-83463,-99154,-92626,-84164,-72388,-83158,-3345,-18783,-1261,-2464,-8070,-16696,0
-74025,0,2,3,1,4,0,-2,-1,-2,0,-211890,-223338,-254256,-269894,-225322,-183627,-31759,-44600,-8008,-3350,-39989,-28879,1
257675,0,1,1,1,1,2,-2,5,-1,-2,17644,34031,77534,31846,7997,19189,5573,2375,4639,-8994,-6000,-2854,1
180501,0,2,1,1,0,0,0,0,0,0,278943,237623,160772,149160,191024,187540,18759,3060,-10466,10081,13862,13925,0
303656,1,2,1,1,4,0,-1,5,8,0,87052,41360,15754,44056,7935,2609,5931,9109,8343,679,7947,11109,0
248365,0,3,1,1,0,0,0,0,0,7,296362,280180,263321,306584,285247,247414,39509,21884,-5021,13882,26250,29263,0
-45732,1,1,1,1,0,0,-2,2,3,0,67961,53452,-2285,7398,-1032,-1898,17654,-1260,2664,10045,-1117,-2310,0
217768,1,0,1,1,4,-2,7,-2,-2,0,111076,40865,39107,9615,23101,23192,3727,6518,-6071,1950,6566,2923,0
441637,0,3,1,0,1,0,0,4,0,7,340010,263942,300767,314637,266473,224584,34137,40284,10853,1373,35371,28399,0
286224,0,2,1,1,6,2,2,6,0,0,85192,-1922,54127,75337,81258,57270,2687,23248,16663,13796,24656,19910,0
