LIMIT_BAL,SEX,EDUCATION,MARITAL,AGE,PAY0,PAY2,PAY3,PAY4,PAY5,PAY6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,class-label
279408,0,2,1,1,0,0,0,0,0,0,52647,98092,94952,6736,56680,91490,2764,19469,11138,2610,5167,8320,0
222999,0,2,1,1,0,-2,6,0,-2,0,-7055,68662,58035,-6654,33771,37818,21268,10427,14444,13770,2862,11453,0
386900,1,4,2,1,0,0,0,0,4,0,119462,167398,176514,138069,98300,141335,9371,37197,3692,15233,23851,14559,1
81029,1,2,2,1,-1,0,0,0,4,5,56903,53578,47766,36661,39142,51762,5184,12273,5496,18523,5225,7358,0
235513,1,1,2,1,0,1,3,0,-2,0,27690,99804,111049,95591,46503,113810,12811,13488,9554,11843,4722,19176,1
126171,0,4,1,1,-1,-1,-1,-2,-1,5,21031,63549,55413,1073,21071,30016,11795,15356,4093,11322,18898,4087,0
152274,0,2,2,1,0,0,0,0,0,0,96660,145269,144795,70348,66900,127615,4262,18071,917,3427,3638,8865,0
367924,0,0,2,1,2,-2,-1,0,8,0,119000,182022,177485,129886,73234,125855,6032,28260,11456,9023,18407,13449,1
279544,0,0,1,1,2,1,0,0,0,0,101020,127943,118508,71302,86397,120025,15240,15107,7881,17146,21274,9898,0
199868,0,2,2,1,2,-1,-1,-1,-1,8,33745,27391,59148,53855,10824,19483,11408,7868,14733,16589,19556,191,0
323813,0,2,1,1,-1,-1,-1,-1,-1,-1,15397,59509,27094,15065,-9389,21038,7679,8621,2730,22065,25101,19940,0
131594,0,2,2,1,0,0,2,2,2,0,117106,147088,160568,57647,129093,131056,11097,1531,24634,18733,384,13871,0
192181,0,3,2,1,0,0,7,0,-1,0,-16597,36087,8656,-41661,13181,61925,18759,6067,6187,11261,14703,9686,0
