LIMIT_BAL,SEX,EDUCATION,MARITAL,AGE,PAY0,PAY2,PAY3,PAY4,PAY5,PAY6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,class-label
336929,1,1,1,38,0,5,-1,0,0,0,60427,24145,37666,124611,86585,71282,12041,5243,21156,22596,20807,16502,0
256191,2,2,2,28,-1,5,-1,0,0,2,63539,135525,51629,86101,81196,39453,7788,4881,7353,11616,1883,13508,1
339977,1,2,2,30,6,-1,-1,-2,0,-1,143917,165562,161213,179854,67763,89832,19129,28749,17068,15540,8830,4011,0
354673,1,1,1,41,0,0,0,-2,0,0,117644,85919,108757,180664,106754,102471,4993,27561,17645,24513,17996,14614,1
248050,1,2,1,45,0,0,0,-2,0,2,115983,81470,76908,131448,111934,35118,1017,18407,9289,7552,5275,11873,0
87438,1,2,1,35,0,0,0,1,0,2,71775,65727,124103,77490,33986,57024,11868,6961,1027,2629,14639,1451,0
241489,1,1,1,39,-1,-1,-1,-1,-1,2,-39852,-1335,-8258,-12353,31571,18341,17835,6187,14887,1824,17980,1340,0
265035,1,3,2,32,4,-1,0,3,-1,2,108726,84847,142705,77017,49940,56829,18918,16908,17088,853,15977,1458,0
464562,2,1,1,48,0,-2,-2,-1,-1,-2,53125,89160,34434,40686,39310,71307,21233,17488,15748,10110,19186,20507,0
199440,1,1,2,30,0,-1,-1,-2,-2,-2,-35048,-28130,-32532,-14384,-54122,-2924,12486,3330,12921,5198,14205,5905,0
423013,2,1,1,48,0,-1,5,-2,-2,-2,24796,22550,13316,56401,25831,19288,14654,21682,15369,21329,15135,39338,0
371534,2,2,1,27,0,0,-2,0,-1,-1,93369,86019,85391,71599,67658,65003,4913,13106,11669,9497,2646,34333,0
250142,1,3,0,31,-2,0,0,5,0,0,135192,92179,88942,140057,90465,95874,8750,8922,4534,3850,7993,9050,0
210342,2,3,1,49,2,2,-2,-1,0,0,43857,40126,25386,30187,40284,27853,1321,15938,10798,14526,12481,21837,0
370718,2,1,1,23,-1,-1,-1,-1,-1,-2,34948,28819,3631,-1206,18668,32283,12993,15768,18301,20747,338,25790,0
266908,2,1,1,29,-1,-1,-1,2,2,2,5254,-17327,-5158,-5008,20689,-6306,632,14881,9447,28314,6993,16575,0
233807,2,1,1,40,-1,-1,-1,-1,0,-1,-12780,27809,31928,25691,37568,27644,5794,24419,11561,7967,3418,13856,1
148040,1,2,1,30,0,0,2,0,0,0,42724,59400,21438,15657,17869,5573,4304,3289,3567,7355,3771,10575,0
239132,1,1,1,36,-1,-1,-1,0,0,0,-4048,31956,56519,48073,63844,46517,5314,13657,6876,10390,10935,10001,0
214980,2,3,1,50,-1,-1,-1,-1,0,-1,46808,43835,62657,48827,47042,33143,9944,21554,3073,11799,1267,12142,1
115552,1,3,1,35,0,0,0,0,0,0,62576,67917,74601,63255,64665,75389,8277,13747,5121,2344,9923,1861,0
321716,1,2,1,38,-1,-1,-1,8,0,-2,12014,22015,22589,37114,29970,34150,551,5512,14495,7677,11023,11014,1
140688,2,3,1,33,0,0,0,0,0,0,133353,138628,165120,119947,114732,93335,11205,5080,13103,10822,1206,5471,0
93029,2,2,2,41,2,2,-1,0,0,0,90581,88800,75735,66704,68531,70892,5102,8999,8579,2725,7473,7625,1
194167,1,3,2,32,0,0,0,0,0,0,23818,10862,16752,-10387,12310,24215,1679,5307,10040,3620,10530,1029,0
169364,2,3,1,24,1,0,0,2,0,0,-12936,-18029,36665,22407,42654,32057,3407,2067,3245,8024,1984,9394,0
