LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY0,PAY2,PAY3,PAY4,PAY5,PAY6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,class-label
123028,1,2,3,1,1,0,2,2,0,0,94743,28122,75585,63188,12380,90693,792,407,3566,5227,1132,1183,1
57698,1,1,1,1,0,0,0,0,0,0,43947,162517,54212,37576,46051,34509,3797,2646,412,4656,1294,449,0
283743,0,2,1,1,0,0,0,0,0,0,112878,216069,122038,141303,207705,169698,11875,11214,3129,5687,5604,4125,1
54594,0,1,2,1,0,0,0,2,0,0,97527,64650,153865,144477,126243,33107,1806,2662,4397,1845,2056,5184,0
282865,0,3,0,1,0,0,0,0,0,0,31989,153891,147040,51567,44950,53890,41591,5368,6232,2908,29193,7214,0
98500,1,2,2,1,-1,-1,-1,-1,-2,-2,379,-1382,356,1797,1969,15,0,0,1112,17,1138,204,0
192710,1,1,2,1,-1,-2,-1,-1,-1,-2,75007,1648,20005,22030,19584,422,15224,56806,10242,7283,497,871,0
20587,1,3,1,1,0,0,0,0,0,0,19421,14061,42927,29742,19119,57557,1089,1709,1426,1249,2251,152,0
61157,0,2,1,1,1,-1,0,0,0,0,4009,2855,11712,36891,10054,511,0,1514,9297,0,1854,0,0
336473,0,2,1,1,-1,-1,-1,-1,0,-1,105046,62404,20434,17386,-172,-628,10980,21372,2908,1381,31250,5929,0
130053,1,2,3,1,0,0,0,0,0,0,210338,181635,149495,166459,118185,213307,9583,5480,9239,5702,6795,6979,1
192422,1,1,2,1,-1,-1,-2,-1,0,-1,-1309,411,464,1327,826,446,961,1474,2998,43,72,564,0
31375,0,3,1,0,-1,-1,-1,0,0,0,2562,1433,2269,1233,11212,-826,1056,4960,1507,289,166,101,0
136133,0,2,1,1,0,0,0,0,0,0,176112,124669,117356,154167,125734,190121,9510,10868,3863,5235,5154,20295,1
182811,1,1,2,1,-1,-1,-1,-1,-1,-2,-163,665,-701,1263,640,-179,59726,7290,1123,16152,100,1111,0
178784,0,6,1,1,0,2,0,0,0,0,247910,226367,214081,139678,154905,178599,5607,9014,7639,4957,4842,3381,1
21802,0,3,1,1,1,-1,-1,-1,-1,-1,948,755,2495,3026,1032,1797,0,1192,632,0,2069,18,0
26908,0,2,1,1,0,0,0,0,0,0,10272,2224,64339,21034,17614,34583,1779,2990,3536,2265,4792,2398,0
205600,0,3,2,0,-1,-1,-1,-1,-2,-2,-1836,-294,648,2356,1515,-1472,0,0,966,0,140,217,0
165185,0,1,2,0,-1,-1,-1,-1,-1,-2,-2849,10798,1127,941,-1234,-1135,1515,1387,14725,0,1402,505,0
222342,1,2,2,1,0,0,0,0,0,0,127706,107972,150856,88813,74769,80415,2024,5695,4274,2440,2032,3932,0
81969,1,2,2,1,0,0,-1,0,0,0,14418,15044,21544,17488,11466,1138,1320,4261,15971,524,384,442,0
232238,0,2,1,1,0,0,0,2,0,2,102290,36246,84227,44337,81911,87941,28116,10728,19028,52348,54074,5136,0
153334,0,2,2,1,0,0,0,0,0,0,149747,154330,102605,105507,105312,165282,2626,2244,4720,2162,3960,1926,0
492781,1,1,1,1,-1,-1,-1,-1,0,0,542,917,17230,6268,4699,13252,160,17337,955,134,2153,1438,1
26567,0,1,2,1,0,0,-1,-1,-1,0,3216,2381,709,32328,6469,15965,29,2112,1731,2826,5606,2296,0
244005,0,1,1,1,-1,-1,-1,-1,0,-1,6944,47212,23461,36403,42259,15265,22251,4265,3095,1361,2298,1617,0
70976,0,2,3,1,0,0,0,0,0,0,29853,33420,99924,39420,24699,45978,2970,2645,3296,504,481,1962,0
99633,0,2,1,1,0,0,0,0,0,0,146147,60806,94540,38374,17973,44405,4227,4056,1433,1279,2082,482,0
28522,0,3,2,1,0,-1,0,-1,-1,-1,6175,13371,1578,1052,426,1192,2740,1914,1366,2080,275,2021,0
51290,0,3,3,1,0,0,0,0,0,0,32085,21042,42175,56870,47262,64074,1622,754,1466,247,1316,562,0
