LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,class-label
120000.0,2.0,2.0,2.0,x<25 or x>65,0.0,0.0,0.0,0.0,0.0,0.0,124574.05,671563.0,168788.1,891586.0,171093.27,49582.92,2500.0,1215471.0,3365.5654,10093.562,1800.5695,2342.9114,1
250000.0,1.0,2.0,1.0,25<=x<=65,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,2092.296,-26214.0,-157264.0,0.0,1137.8647,316.0,0.0,0.0,0.0,3000.0,0.0,915.65704,0
160000.0,2.0,1.0,3.0,25<=x<=65,8.0,7.0,2.0,7.0,8.0,2.0,7837.802,22322.664,18749.65,134172.06,109681.43,35596.426,0.0,0.0,24839.525,0.0,2449.0637,0.0,1
150000.0,2.0,2.0,2.0,25<=x<=65,0.0,0.0,0.0,0.0,0.0,0.0,964511.0,671563.0,67643.125,44508.605,927171.0,527711.0,4661.2285,12356.416,896040.0,36137.32,426529.0,1000.0,0
80000.0,2.0,2.0,1.0,25<=x<=65,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-26214.0,478.12592,0.0,-81334.0,-174.85004,0.0,0.0,0.0,0.0,0.0,0.0,1
170000.0,1.0,2.0,2.0,25<=x<=65,0.0,-1.0,-1.0,-2.0,-2.0,-2.0,5566.683,780.0,1349.4113,-50616.0,-81334.0,0.0,0.0,1002.75385,0.0,0.0,0.0,0.0,0
180000.0,2.0,3.0,1.0,25<=x<=65,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,2116.8784,-26214.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,1000.0,0.0,524.949,0
300000.0,1.0,0.0,3.0,25<=x<=65,-2.0,-1.0,-2.0,2.0,0.0,8.0,390.0,9810.082,15271.598,6961.4434,23245.33,2340.8127,2476.5127,10008.416,0.0,700.0,700.0,1000.0,1
60000.0,2.0,2.0,1.0,25<=x<=65,0.0,-2.0,-1.0,-1.0,-1.0,-2.0,1610.7716,0.0,1002.7156,749.861,326.0,5163.25,1769.9788,310.84677,0.0,885.13184,1434.7937,791.8876,0
200000.0,2.0,2.0,1.0,25<=x<=65,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2539.761,1107.714,7041.552,-50616.0,-81334.0,-150953.0,1195.5148,0.0,0.0,0.0,0.0,0.0,0
60000.0,1.0,2.0,1.0,25<=x<=65,0.0,-2.0,-2.0,-1.0,0.0,0.0,390.0,0.0,-157264.0,1467.7675,4896.224,0.0,0.0,308.93954,984.51044,800.0,0.0,0.0,0
240000.0,1.0,2.0,3.0,25<=x<=65,-2.0,0.0,-1.0,0.0,-1.0,0.0,1080.7891,3127.64,19127.91,22328.572,7481.38,16043.605,4096.095,1215471.0,896040.0,2552.8877,426529.0,5000.0,0
280000.0,1.0,1.0,2.0,25<=x<=65,0.0,0.0,0.0,0.0,0.0,2.0,964511.0,154882.48,855086.0,891586.0,927171.0,527711.0,10000.0,3841.101,896040.0,281225.0,426529.0,6500.0,0
10000.0,2.0,2.0,2.0,x<25 or x>65,8.0,2.0,7.0,0.0,0.0,-2.0,45478.07,24645.893,21457.717,2969.5305,697.1406,7829.3604,832.37024,4711.673,0.0,292.11374,910.08093,0.0,1
80000.0,2.0,2.0,1.0,25<=x<=65,0.0,7.0,7.0,0.0,0.0,-2.0,73337.45,78511.516,37174.227,8050.019,481.95865,483.93002,1600.3467,0.0,3622.0396,0.0,0.0,0.0,0
200000.0,2.0,2.0,2.0,x<25 or x>65,0.0,-2.0,-2.0,0.0,0.0,0.0,-11545.0,-26214.0,-157264.0,6200.903,3403.859,359.28897,0.0,1497.3895,793.41565,0.0,1000.0,1000.0,1
90000.0,2.0,2.0,1.0,25<=x<=65,0.0,0.0,2.0,0.0,0.0,0.0,93336.13,53117.82,31241.887,14130.301,19826.717,34262.227,4000.0,15626.474,28030.85,2004.7521,2627.2957,0.0,0
110000.0,2.0,1.0,2.0,25<=x<=65,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,146.86389,2518.1858,18892.732,830.2638,-172.00893,0.0,2008.2681,1643.6108,0.0,0.0,0.0,0.0,1
130000.0,1.0,2.0,2.0,25<=x<=65,0.0,0.0,0.0,0.0,0.0,0.0,78283.945,44291.855,52141.902,13123.687,29871.846,19492.557,3000.0,2500.0,900.0,27807.533,1268.7317,2029.6317,0
20000.0,1.0,1.0,3.0,25<=x<=65,0.0,-1.0,-2.0,-2.0,-2.0,0.0,390.0,-26214.0,5634.237,-6.495974,0.0,0.0,0.0,0.0,0.0,1348.0685,0.0,0.0,1
10000.0,1.0,2.0,2.0,x<25 or x>65,2.0,2.0,7.0,0.0,0.0,-1.0,18572.385,2649.905,4330.0054,390.0,2188.9885,589.48584,128.50267,0.0,1004.82776,316.0,0.0,0.0,0
70000.0,2.0,2.0,1.0,25<=x<=65,-1.0,2.0,0.0,-2.0,-2.0,-2.0,19025.502,20686.756,28053.836,-50616.0,-81334.0,0.0,4766.592,299.66165,0.0,0.0,0.0,0.0,0
300000.0,2.0,1.0,1.0,25<=x<=65,-1.0,0.0,0.0,0.0,0.0,0.0,47464.445,26931.428,26499.584,16023.372,40681.62,85433.21,15726.359,3000.0,5686.549,70052.07,426529.0,443001.0,0
10000.0,2.0,2.0,2.0,25<=x<=65,0.0,0.0,0.0,0.0,0.0,0.0,3135.7117,389.54083,1958.9237,1872.0112,641.0676,765.76764,1000.0,2000.0,1200.0,1100.0,548.0316,1002.3635,0
230000.0,2.0,1.0,2.0,25<=x<=65,0.0,0.0,0.0,0.0,0.0,0.0,85646.81,156508.92,126442.91,77876.46,67327.06,527711.0,9882.387,7837.547,896040.0,281225.0,426529.0,6264.2974,0
500000.0,2.0,2.0,2.0,x<25 or x>65,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2406.725,15767.632,5280.067,19984.52,17117.406,18698.809,8609.744,6214.2573,896040.0,155466.94,426529.0,10000.0,0
140000.0,2.0,2.0,1.0,25<=x<=65,-1.0,0.0,0.0,0.0,0.0,0.0,18621.064,25056.824,14534.707,5661.8604,19440.994,7718.6816,10836.8955,1701.8564,4000.0,3165.3484,2000.0,443001.0,1
190000.0,2.0,4.0,2.0,25<=x<=65,0.0,0.0,0.0,0.0,0.0,0.0,964511.0,147964.47,94026.97,30412.082,927171.0,77183.734,3000.0,1215471.0,1978.3562,281225.0,1100.0,800.0,0
210000.0,2.0,1.0,2.0,25<=x<=65,0.0,0.0,0.0,0.0,0.0,0.0,167853.27,34418.01,90068.766,66566.46,927171.0,527711.0,3015.5732,2719.0754,1238.8148,281225.0,5000.0,4749.5923,0
240000.0,1.0,0.0,1.0,25<=x<=65,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,10227.186,10394.733,0.0,-50616.0,1618.6241,-7995.1006,0.0,0.0,0.0,0.0,0.0,0.0,0
50000.0,1.0,3.0,2.0,25<=x<=65,0.0,0.0,0.0,0.0,0.0,0.0,47760.17,44186.875,39541.83,26746.682,26762.275,19888.686,2000.0,5000.0,1590.5447,2450.397,1000.0,943.9127,0
800000.0,1.0,3.0,1.0,25<=x<=65,0.0,0.0,0.0,0.0,0.0,0.0,964511.0,228435.28,156199.73,51394.01,122604.14,68805.77,15972.42,3988.6348,25035.912,10040.94,5000.1997,187369.31,0
30000.0,1.0,3.0,2.0,x<25 or x>65,0.0,0.0,0.0,0.0,0.0,0.0,34977.652,14570.124,16166.36,9320.198,13419.16,6296.979,1297.9789,2697.5447,900.0,1200.0,0.0,0.0,0
210000.0,1.0,2.0,1.0,25<=x<=65,0.0,0.0,0.0,0.0,0.0,0.0,47607.645,48379.395,41507.8,26995.33,28718.6,51269.016,3770.0823,6688.81,7968.2163,2300.0,13522.082,5000.0,0
70000.0,2.0,3.0,1.0,25<=x<=65,0.0,0.0,0.0,0.0,0.0,0.0,78373.99,60251.734,19476.15,16139.606,30077.527,28655.72,5205.422,1415.1965,1281.5193,500.0,1607.0996,443001.0,0
30000.0,2.0,2.0,1.0,25<=x<=65,0.0,0.0,0.0,0.0,0.0,-1.0,23003.213,12566.424,10016.005,2767.022,0.0,0.750887,1400.0,698.1537,259.81473,0.0,0.0,0.0,0
120000.0,1.0,2.0,1.0,25<=x<=65,0.0,0.0,0.0,0.0,0.0,0.0,205933.48,671563.0,185687.7,152429.98,927171.0,96068.53,2422.464,1215471.0,7668.8955,8030.3643,4300.626,7252.815,0
300000.0,2.0,1.0,2.0,25<=x<=65,-1.0,0.0,0.0,0.0,-1.0,-2.0,1110.9924,1050.0,6267.3857,7075.2554,-551.92804,0.0,0.0,9000.0,1412.7657,0.0,4011.14,0.0,0
