LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,class-label
340000.0,2,6.0,1.0,28.0,-2.0,-2.0,-2.0,-1.0,-1.0,0.0,437.30103,-2.9767797,3312.7349,4575.2715,3519.5928,6130.486,1700.0,0.0,0.0,432130.0,3600.0,0.0,0
160000.0,1,2.0,2.0,48.0,0.0,0.0,0.0,7.0,0.0,2.0,11798.678,17658.895,18123.076,12583.659,29524.295,15003.593,973.93787,959.3954,0.0,1000.0,2301.835,1600.0,1
80000.0,1,0.0,2.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,43837.83,40269.98,11350.968,29839.812,19346.943,9062.147,2000.0,1578.8077,2676.2551,2012.5686,1000.0,0.0,0
200000.0,2,1.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,60512.344,61815.39,77890.71,85488.71,29050.258,18860.393,2573.5786,3000.0,2462.854,1581.2646,2000.0,4000.0,0
210000.0,2,1.0,2.0,37.0,-2.0,-2.0,-1.0,0.0,0.0,0.0,4879.2896,3359.101,1280.4686,10983.581,1838.9961,1268.5299,6564.0557,1800.0,3000.0,6004.0635,1662.338,7055.1816,0
60000.0,2,1.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,87662.9,77678.38,56954.5,139208.27,95567.766,30346.553,3577.323,6585.233,3000.0,2716.3147,3885.8918,2000.0,0
288434.88,2,2.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,49941.277,49746.414,130292.516,46737.227,49698.05,145134.83,2800.0,2051.0803,2000.0,5000.0,5000.0,1150.6008,0
200000.0,1,1.0,2.0,31.0,-2.0,-2.0,-2.0,-1.0,-1.0,0.0,1991.6102,390.0,725.2119,19652.92,1498.4869,589.83545,2000.0,2502.1587,3000.0,2500.0,500.0,1528.5765,0
120000.0,2,2.0,1.0,41.0,8.0,7.0,0.0,0.0,0.0,0.0,105253.93,78182.625,139941.34,77977.01,9717.359,2209.0151,416.3188,3388.9138,0.0,2000.0863,0.0,453.75275,1
200000.0,1,2.0,1.0,42.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,390.0,390.0,0.0,8714.419,-81334.0,-150953.0,1100.0,390.0,0.0,0.0,0.0,0.0,0
50000.0,2,2.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,18649.684,19763.31,24357.863,14803.461,24217.72,27573.451,3000.0,2002.9401,2022.9641,3000.0,3697.3882,3514.2212,0
