LIMIT_BAL,SEX,EDUCATION,MARITAL,AGE,PAY0,PAY2,PAY3,PAY4,PAY5,PAY6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,class-label
150000.0,1,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,77405.07,55701.695,67804.16,50628.25,47995.215,30219.21,1700.0,1848.8854,1831.0496,915.88477,1575.6593,5000.0,0
100000.0,0,3.0,2.0,1,-1.0,-2.0,-2.0,-1.0,-2.0,-1.0,3074.3542,388.61728,493.13272,5768.14,150.0,15874.3545,2653.7754,2100.0,1203.2943,1000.0,29669.777,1293.2312,0
420000.0,0,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,78125.07,284100.72,130851.25,100014.71,207177.17,568638.0,4600.0,7000.0,11000.0,5000.0,4600.205,4421.4424,0
340000.0,0,1.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,103630.71,126406.52,444973.06,112097.164,134231.48,191609.03,8715.106,10071.159,16433.137,7786.5967,3136.6055,5000.0,0
50000.0,1,2.0,1.0,1,1.0,2.0,2.0,0.0,0.0,0.0,82493.836,50983.844,17779.143,7829.346,3110.657,7943.6846,1611.1454,0.0,0.0,2000.0,0.0,29646.29,0
90000.0,1,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,27287.049,21462.09,23255.145,20245.43,19715.795,12338.834,1000.0,401.27222,1831.3754,329.90656,0.0,1802.4049,0
150000.0,0,3.0,0.0,1,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0,302.7052,-1.9897729,-963.0252,741.01556,71.76499,0.0,1200.0,0.0,711.3473,600.0,1446.1182,0.0,0
110000.0,0,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,17996.742,23149.824,17952.705,9606.154,6570.5176,7354.017,2510.6838,0.0,0.0,0.0,1000.0,2000.0,0
10000.0,0,2.0,1.0,1,8.0,0.0,-1.0,-2.0,-1.0,0.0,11339.242,0.0,2361.3782,14187.083,18369.36,121121.77,0.0,0.0,1280.1964,10000.0,3100.3027,0.0,0
10000.0,1,2.0,1.0,1,0.0,2.0,2.0,0.0,0.0,2.0,28720.535,15299.838,18777.912,12096.197,1738.5653,4685.5615,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0
50000.0,1,2.0,2.0,1,0.0,0.0,-1.0,-2.0,-2.0,-2.0,20758.361,19108.37,0.0,-170000.0,-81334.0,-94625.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30000.0,1,2.0,2.0,1,-1.0,0.0,0.0,0.0,0.0,0.0,19088.652,19082.514,21682.748,22569.059,17708.764,19726.668,2000.0,0.0,1701.7008,780.0,150.0,2000.0,0
90000.0,1,2.0,0.0,1,0.0,0.0,7.0,2.0,2.0,0.0,28059.16,28491.85,29217.129,35552.11,31168.342,28948.326,2000.0,0.0,1378.3562,0.0,1800.0,1074.3699,0
320000.0,0,1.0,1.0,1,0.0,0.0,-2.0,-1.0,-1.0,0.0,494.33597,-15.354048,1100.5781,303.2452,3892.7266,921.3622,0.0,4088.443,3045.7998,1799.9486,0.0,0.0,0
290000.0,0,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,278879.4,210782.19,116825.0,89765.51,147257.89,226805.19,5140.8076,5014.7656,8356.479,5000.0,4385.248,2501.6968,0
20000.0,0,3.0,1.0,1,1.0,2.0,0.0,0.0,0.0,0.0,41944.098,20912.527,20726.621,32279.629,4385.9917,3294.4282,1121.0188,693.7265,5000.0,0.0,3000.0,0.0,0
110000.0,1,1.0,2.0,1,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,18035.455,2314.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
50000.0,1,1.0,2.0,1,1.0,2.0,0.0,0.0,0.0,0.0,109993.02,47088.094,33814.52,8255.4375,9997.232,6972.6494,1489.1301,4896.394,1200.0,1805.8511,0.0,3000.0,0
150000.0,1,2.0,1.0,1,0.0,0.0,2.0,0.0,2.0,0.0,48185.152,56770.973,46694.06,70482.29,103276.83,201777.0,6000.0,0.0,2398.5122,1300.0,379267.0,4097.273,0
120000.0,0,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,58582.004,67610.29,50318.082,56849.9,40486.39,47151.1,3289.658,3508.6428,2809.536,3181.2979,4009.8784,2300.1536,0
100000.0,0,1.0,2.0,1,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,8458.046,9069.465,8881.403,146.78204,396.0,723.4489,0.0,0.0,0.0,0.0,0.0,0.0,0
100000.0,0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,79220.98,100489.72,41413.45,28365.441,20413.04,17726.408,6012.836,3000.0,1419.3789,1594.0547,1000.0,2000.0,1
50000.0,0,2.0,2.0,1,0.0,0.0,-1.0,0.0,0.0,0.0,5418.8774,6553.5356,-0.16094366,1759.8237,0.0,2400.0,150.304,0.0,209.24275,0.0,1999.9012,1669.4651,1
30000.0,0,2.0,2.0,1,1.0,2.0,7.0,7.0,2.0,2.0,50789.74,51412.99,34524.703,29762.428,55828.48,191286.0,0.0,3099.774,582.0684,3288.2576,3000.0,0.0,1
250000.0,0,1.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,112588.07,80454.85,351656.03,97903.45,82202.61,57498.043,873552.0,50043.863,6023.164,5000.0,6864.745,5309.5796,0
150000.0,1,3.0,1.0,1,0.0,0.0,-1.0,-1.0,-1.0,0.0,35815.94,18563.094,23465.223,29664.01,28496.234,8290.595,2134.7815,5734.9365,7528.582,2998.881,0.0,2300.0,0
160000.0,1,2.0,0.0,1,0.0,0.0,2.0,0.0,0.0,0.0,53525.727,67855.1,30183.9,22248.803,29052.475,46037.582,6000.0,339.10312,927.42206,3989.3325,2698.449,3000.0,0
170000.0,1,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,43030.17,28274.248,80599.47,102515.24,927171.0,81142.26,3132.2869,13150.727,417588.0,7000.0,3946.3562,3191.091,0
70000.0,0,1.0,2.0,1,0.0,0.0,0.0,0.0,-1.0,2.0,1480.4913,1469.726,780.0,-170000.0,1565.4001,0.0,777.697,1559.0151,0.0,2149.3535,0.0,1196.5614,0
100000.0,0,1.0,2.0,1,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-5169.5024,15643.846,0.0,-81334.0,-94625.0,0.0,1000.0,0.0,0.0,0.0,0.0,0
50000.0,0,3.0,1.0,1,8.0,7.0,7.0,7.0,7.0,7.0,118841.195,39137.676,43731.984,35523.51,44400.695,24358.266,0.0,591.0407,1613.7175,1822.9672,157.54597,0.0,1
20000.0,1,2.0,2.0,1,2.0,0.0,0.0,0.0,0.0,2.0,64264.75,59064.816,41796.125,46559.438,45697.23,19174.143,1676.74,3000.0,2100.213,1441.5558,0.0,1000.0,1
240000.0,0,2.0,2.0,1,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,146.02956,-69777.0,-157264.0,0.0,599.1601,7348.0635,0.0,0.0,0.0,743.71356,1395.4365,5914.838,0
70000.0,1,2.0,1.0,1,1.0,0.0,7.0,2.0,7.0,7.0,7406.632,4715.183,17830.74,18872.662,16251.395,12613.863,0.0,0.0,1000.0,881.94885,0.0,0.0,1
180000.0,1,1.0,2.0,1,-2.0,0.0,-1.0,0.0,-2.0,-1.0,5009.603,20118.63,1950.5496,0.0,1056.2623,0.0,5826.1733,5953.7476,1900.0,1938.6327,300.0,1146.6433,0
170000.0,1,2.0,1.0,1,0.0,0.0,0.0,0.0,0.0,7.0,17675.053,13034.308,15903.464,10231.33,42113.906,29936.6,0.0,2000.0,200.0,8000.0,0.0,2356.0479,0
150000.0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,56730.24,101037.61,70526.05,67321.266,91930.17,213475.72,3130.6475,5897.198,6109.265,7784.16,3701.1147,2301.1343,1
210000.0,1,2.0,2.0,1,-1.0,-1.0,-2.0,-2.0,0.0,-2.0,4481.1553,6420.8804,4161.0522,13437.411,0.0,0.0,1800.0,3005.405,3764.9792,0.0,0.0,0.0,1
50000.0,1,2.0,2.0,1,8.0,0.0,0.0,0.0,0.0,0.0,29447.812,22020.62,17720.46,45351.996,41036.227,16658.5,4000.0,2150.923,22088.973,1198.4858,2853.0278,0.0,1
50000.0,1,2.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,48897.69,30457.227,20144.48,9659.649,7748.3843,8007.6665,502.5357,1800.0,1000.0,863.36316,0.0,1000.0,0
10000.0,0,2.0,2.0,0,8.0,7.0,7.0,2.0,2.0,0.0,12771.55,10856.718,10528.623,6298.09,316.0,3248.7065,0.0,0.0,1200.4388,0.0,482.2812,0.0,1
100000.0,0,2.0,2.0,0,0.0,0.0,0.0,0.0,-2.0,-2.0,48462.37,47120.812,22388.182,3965.7056,5778.627,289.9586,5000.0,0.0,0.0,0.0,0.0,0.0,0
60000.0,0,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,33521.207,36837.523,30325.432,19781.285,8831.245,18631.928,2440.1392,3194.9688,390.0,1100.0,4000.0,2000.0,0
210000.0,0,2.0,2.0,1,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,390.0,0.0,-157264.0,-170000.0,-81334.0,6590.994,1556.5958,1191.7174,1455.9417,3000.0,3986.861,6297.02,0
100000.0,0,2.0,2.0,0,-1.0,0.0,0.0,0.0,0.0,-1.0,17276.645,61472.95,68163.13,36824.996,28551.432,10621.893,8096.96,5100.0,7309.842,2654.9612,2000.0,2100.3801,0
438003.1,1,2.0,2.0,1,-2.0,-1.0,-2.0,-2.0,-2.0,-1.0,32543.047,21989.727,0.0,380.0,1062.1772,7432.697,6301.388,0.0,1412.3412,400046.0,4500.0,5000.0,0
170000.0,0,6.0,0.0,1,-1.0,0.0,0.0,-1.0,-2.0,-1.0,5342.441,28032.06,264.89468,-170000.0,-81334.0,-94625.0,4100.0,0.0,0.0,0.0,0.0,0.0,0
800000.0,0,2.0,1.0,1,-1.0,-2.0,-1.0,-2.0,-1.0,-1.0,15504.115,16067.722,8292.748,19440.898,9951.858,6675.59,873552.0,1684259.0,417588.0,400046.0,9970.863,8464.791,0
10000.0,0,3.0,2.0,1,0.0,0.0,-2.0,-1.0,0.0,0.0,7234.332,-69777.0,-1259.2025,-170000.0,-13.788928,992.3022,0.0,0.0,0.0,0.0,0.0,400.0,0
50000.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,27020.184,18733.564,33121.05,24086.623,16355.922,6237.9585,4000.0,389.85617,1461.7607,278.90628,112.63031,3000.0,0
20000.0,0,2.0,1.0,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-157264.0,0.0,-81334.0,507.87094,1400.0,0.0,0.0,0.0,2914.4827,2000.0,0
20000.0,0,2.0,3.0,1,0.0,7.0,0.0,0.0,0.0,0.0,29339.014,32215.186,4349.7964,-170000.0,543.5708,995.56866,1728.3541,1161.012,0.0,1000.0,711.29675,2411.2322,0
90000.0,0,2.0,1.0,1,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,5366.043,-69777.0,0.0,247.52393,2144.8054,3345.1191,0.0,0.0,0.0,416.0,396.0,0.0,0
50000.0,1,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,-1.0,16166.143,8839.174,17565.363,18630.732,9557.442,12560.854,6003.3154,1500.0,800.38196,0.0,28181.328,1500.0,0
10000.0,1,2.0,3.0,1,-1.0,0.0,-1.0,0.0,0.0,-1.0,3669.1768,1397.4788,220.4346,0.0,-81334.0,0.0,298.76013,1400.0,0.0,0.0,2000.0,0.0,0
150000.0,0,1.0,1.0,1,-1.0,-2.0,-2.0,-1.0,-1.0,-2.0,-10682.0,1049.1382,5503.0796,10193.577,0.0,7277.8867,0.0,1600.0,6000.0,0.0,4000.0,0.0,0
240000.0,1,3.0,1.0,1,0.0,0.0,0.0,0.0,0.0,-2.0,780.0,4255.814,10008.069,1129.3912,0.0,-94625.0,1843.3005,4000.0,2032.0073,0.0,0.0,390.0,0
20000.0,0,3.0,1.0,1,0.0,2.0,0.0,0.0,0.0,0.0,60060.723,50874.64,20504.348,22601.584,17771.14,55952.027,0.0,3000.0,2321.2905,2303.9548,1031.1853,2704.8538,0
