,sex,age,household-position,household-size,prev-residence-place,citizenship,country-birth,edu-level,economic-status,cur-eco-activity,marital-status,class-label
0,0,12.0,1132.0,111.0,1.0,1.0,1.0,4.0,111.0,132.0,1.0,0
1,0,11.0,1121.0,112.0,1.0,1.0,1.0,3.0,111.0,139.0,2.0,0
2,0,6.0,1122.0,112.0,1.0,1.0,1.0,3.0,111.0,135.0,2.0,0
3,0,15.0,1220.0,113.0,1.0,1.0,1.0,3.0,111.0,137.0,4.0,0
4,1,10.0,1122.0,114.0,1.0,1.0,1.0,3.0,111.0,111.0,2.0,1
5,0,4.0,1140.0,111.0,1.0,1.0,1.0,5.0,111.0,139.0,1.0,1
6,1,8.0,1122.0,113.0,1.0,1.0,1.0,5.0,111.0,138.0,2.0,1
7,1,15.0,1220.0,111.0,1.0,1.0,1.0,5.0,111.0,111.0,1.0,1
8,0,8.0,1122.0,113.0,1.0,1.0,1.0,0.0,111.0,135.0,2.0,0
9,1,10.0,1122.0,114.0,1.0,1.0,1.0,2.0,120.0,122.0,2.0,1
10,0,7.0,1122.0,113.0,1.0,1.0,1.0,0.0,111.0,133.0,2.0,0
11,0,10.0,1122.0,113.0,1.0,1.0,1.0,2.0,111.0,135.0,2.0,0
12,1,9.0,1122.0,114.0,1.0,1.0,1.0,5.0,111.0,131.0,2.0,1
13,0,14.0,1131.0,111.0,1.0,1.0,1.0,2.0,111.0,135.0,4.0,0
14,0,4.0,1122.0,114.0,1.0,1.0,1.0,5.0,111.0,131.0,2.0,0
15,0,15.0,1110.0,112.0,1.0,1.0,1.0,3.0,111.0,139.0,2.0,0
16,0,11.0,1122.0,112.0,1.0,1.0,1.0,5.0,111.0,137.0,2.0,1
17,1,4.0,1210.0,111.0,1.0,1.0,1.0,5.0,111.0,136.0,1.0,1
18,0,7.0,1220.0,111.0,1.0,1.0,1.0,5.0,111.0,137.0,1.0,1
19,0,8.0,1121.0,111.0,1.0,1.0,3.0,5.0,111.0,137.0,2.0,1
20,0,10.0,1122.0,112.0,1.0,1.0,1.0,2.0,111.0,139.0,2.0,0
21,1,5.0,1122.0,111.0,1.0,1.0,3.0,0.0,111.0,138.0,2.0,0
22,1,4.0,1122.0,114.0,1.0,1.0,3.0,5.0,111.0,139.0,2.0,1
23,0,10.0,1121.0,112.0,1.0,1.0,1.0,3.0,111.0,122.0,2.0,0
24,1,7.0,1122.0,126.0,1.0,1.0,1.0,5.0,111.0,135.0,2.0,1
25,0,9.0,1121.0,111.0,1.0,1.0,1.0,1.0,111.0,138.0,2.0,0
26,1,10.0,1122.0,125.0,1.0,1.0,1.0,3.0,120.0,133.0,2.0,1
27,1,11.0,1131.0,113.0,1.0,1.0,1.0,3.0,111.0,135.0,2.0,1
28,0,10.0,1122.0,114.0,1.0,1.0,1.0,3.0,111.0,134.0,2.0,0
29,1,6.3381085,1122.0,112.0,1.0,1.0,1.0,3.0,111.0,111.0,2.0,0
30,1,11.0,1122.0,114.0,1.0,1.0,1.0,5.0,111.0,132.0,2.0,1
31,1,8.0,1122.0,114.0,1.0,1.0,1.0,2.0,111.0,131.0,2.0,0
32,0,7.0,1122.0,112.0,1.0,1.0,1.0,5.0,111.0,135.0,2.0,0
33,1,6.0,1110.0,112.0,1.0,1.0,1.0,0.0,111.0,111.0,2.0,0
34,1,9.0,1110.0,125.0,1.0,1.0,1.0,3.0,111.0,133.0,1.0,0
35,1,12.0,1122.0,113.0,1.0,1.0,1.0,5.0,111.0,122.0,2.0,1
36,1,9.0,1220.0,111.0,1.0,1.0,1.0,5.0,111.0,139.0,2.0,1
37,1,11.0,1131.0,113.0,1.0,1.0,1.0,3.0,120.0,131.0,2.0,1
38,0,6.0,1122.0,114.0,1.0,1.0,1.0,3.0,111.0,124.0,2.0,0
39,0,9.0,1122.0,113.0,1.0,1.0,1.0,3.0,111.0,134.0,2.0,0
40,0,11.0,1122.0,126.0,1.0,1.0,1.0,5.0,120.0,134.0,2.0,1
41,0,5.0,1122.0,125.0,1.0,1.0,1.0,5.0,111.0,135.0,2.0,1
42,1,10.0,1122.0,126.0,1.0,1.0,1.0,5.0,111.0,135.0,2.0,1
43,0,11.0,1122.0,113.0,1.0,1.0,1.0,2.0,111.0,138.0,2.0,0
44,0,9.0,1122.0,114.0,1.0,1.0,1.0,0.0,111.0,133.0,2.0,0
45,0,10.0,1122.0,113.0,1.0,1.0,1.0,3.0,111.0,138.0,2.0,0
46,0,8.0,1110.0,111.0,1.0,1.0,1.0,5.0,111.0,131.0,2.0,0
47,1,12.0,1110.0,112.0,1.0,1.0,1.0,4.0,120.0,111.0,2.0,0
48,0,9.0,1140.0,112.0,1.0,1.0,1.0,2.0,120.0,135.0,1.0,1
49,1,12.0,1122.0,114.0,1.0,1.0,1.0,5.0,111.0,133.0,2.0,1
50,0,7.0,1122.0,113.0,1.0,1.0,1.0,5.0,111.0,111.0,2.0,1
51,0,9.0,1122.0,113.0,1.0,1.0,1.0,3.0,111.0,136.0,2.0,0
52,1,10.0,1122.0,114.0,1.0,1.0,1.0,2.0,111.0,132.0,2.0,1
53,0,7.0,1122.0,126.0,1.0,1.0,1.0,5.0,111.0,135.0,2.0,1
54,1,9.0,1122.0,114.0,1.0,1.0,1.0,0.0,111.0,132.0,2.0,1
55,0,6.0,1122.0,113.0,1.0,1.0,1.0,5.0,111.0,133.0,2.0,0
56,1,15.0,1122.0,114.0,1.0,1.0,1.0,5.0,111.0,134.0,2.0,1
57,1,11.0,1122.0,114.0,1.0,1.0,1.0,3.0,111.0,135.0,2.0,1
58,1,4.0,1110.0,126.0,1.0,1.0,1.0,0.0,111.0,124.0,1.0,0
59,1,11.0,1122.0,126.0,1.0,1.0,1.0,5.0,111.0,137.0,2.0,1
60,0,10.0,1122.0,113.0,1.0,1.0,1.0,3.0,111.0,134.0,2.0,0
61,1,8.0,1122.0,113.0,1.0,1.0,1.0,3.0,111.0,111.0,2.0,0
62,0,11.0,1122.0,113.0,1.0,1.0,1.0,5.0,111.0,137.0,2.0,1
63,0,6.0,1210.0,112.0,1.0,1.0,1.0,5.0,111.0,131.0,1.0,1
64,1,8.0,1122.0,126.0,1.0,1.0,1.0,5.0,112.0,135.0,2.0,1
65,0,9.0,1122.0,112.0,1.0,1.0,1.0,0.0,111.0,139.0,2.0,0
66,1,6.0,1131.0,114.0,1.0,1.0,1.0,1.0,120.0,131.0,1.0,1
67,1,15.0,1122.0,113.0,1.0,1.0,1.0,2.0,111.0,135.0,2.0,0
68,0,5.0,1121.0,113.0,1.0,1.0,1.0,0.0,111.0,132.0,2.0,0
69,0,8.0,1210.0,111.0,1.0,1.0,1.0,3.0,111.0,131.0,2.0,0
70,0,15.0,1220.0,111.0,1.0,1.0,1.0,2.0,111.0,138.0,2.0,0
71,0,15.0,1220.0,111.0,1.0,1.0,1.0,0.0,111.0,133.0,4.0,0
72,0,9.0,1110.0,111.0,1.0,1.0,1.0,5.0,111.0,139.0,2.0,1
73,1,4.0,1122.0,125.0,1.0,1.0,1.0,0.0,111.0,131.0,1.0,0
74,1,9.0,1122.0,114.0,1.0,1.0,1.0,3.0,111.0,131.0,2.0,0
75,1,7.0,1122.0,114.0,1.0,1.0,1.0,2.0,111.0,136.0,2.0,0
76,0,4.0,1122.0,114.0,1.0,1.0,1.0,5.0,111.0,122.0,2.0,1
77,0,15.0,1122.0,114.0,1.0,1.0,1.0,5.0,111.0,131.0,2.0,0
78,0,10.0,1122.0,114.0,1.0,1.0,1.0,0.0,111.0,136.0,2.0,0
79,0,4.0,1110.0,126.0,1.0,1.0,1.0,5.0,120.0,136.0,1.0,1
80,0,11.0,1122.0,114.0,1.0,1.0,1.0,1.0,111.0,136.0,2.0,0
81,1,9.0,1122.0,112.0,1.0,1.0,1.0,5.0,111.0,136.0,2.0,1
82,1,4.0,1122.0,114.0,1.0,1.0,1.0,0.0,111.0,135.0,2.0,0
83,0,8.0,1121.0,111.0,1.0,1.0,3.0,3.0,111.0,137.0,2.0,0
84,0,4.0,1110.0,126.0,1.0,1.0,1.0,2.0,120.0,133.0,1.0,1
85,1,15.0,1122.0,114.0,1.0,1.0,1.0,3.0,111.0,138.0,2.0,0
86,1,4.0,1121.0,114.0,1.0,3.0,1.0,3.0,111.0,131.0,1.0,0
87,1,9.0,1140.0,114.0,1.0,1.0,1.0,2.0,111.0,135.0,2.0,1
88,0,6.0,1122.0,112.0,1.0,1.0,1.0,5.0,111.0,132.0,2.0,1
89,0,10.0,1122.0,112.0,1.0,1.0,1.0,3.0,111.0,137.0,2.0,0
90,0,5.0,1122.0,114.0,1.0,1.0,1.0,3.0,111.0,132.0,2.0,0
91,0,8.0,1122.0,114.0,1.0,1.0,1.0,3.0,111.0,135.0,2.0,0
92,0,10.0,1122.0,114.0,1.0,1.0,1.0,5.0,111.0,136.0,2.0,1
93,0,7.0,1220.0,113.0,1.0,1.0,1.0,3.0,111.0,132.0,1.0,0
94,1,15.0,1140.0,111.0,1.0,1.0,1.0,5.0,111.0,132.0,4.0,1
95,0,4.0,1131.0,113.0,1.0,1.0,1.0,5.0,120.0,134.0,1.0,0
96,0,8.0,1122.0,114.0,1.0,1.0,1.0,5.0,111.0,136.0,2.0,1
97,1,15.0,1122.0,112.0,1.0,1.0,1.0,2.0,111.0,137.0,2.0,0
98,0,8.0,1121.0,125.0,1.0,1.0,1.0,5.0,120.0,132.0,2.0,1
99,0,11.0,1122.0,114.0,1.0,1.0,1.0,5.0,111.0,131.0,2.0,1
100,1,9.0,1131.0,112.0,1.0,1.0,1.0,5.0,111.0,135.0,1.0,1
101,1,10.0,1122.0,114.0,1.0,1.0,1.0,3.0,120.0,116.52682,2.0,1
102,1,6.0,1121.0,112.0,1.0,1.0,1.0,5.0,111.0,131.0,2.0,1
103,1,4.0,1140.0,111.0,1.0,1.0,1.0,5.0,111.0,137.0,1.0,1
104,0,5.0,1110.0,114.0,1.0,1.0,1.0,3.0,111.0,135.0,2.0,0
105,1,4.0,1131.0,113.0,1.0,1.0,1.0,3.0,111.0,135.0,1.0,1
106,1,6.0,1122.0,113.0,1.0,1.0,1.0,0.0,111.0,131.0,2.0,0
107,0,15.0,1122.0,126.0,1.0,1.0,1.0,5.0,120.0,137.0,2.0,1
108,1,4.0,1140.0,111.0,1.0,1.0,3.0,2.0,111.0,137.0,1.0,1
109,1,8.0,1140.0,112.0,1.0,1.0,1.0,2.0,111.0,122.0,4.0,0
110,0,4.0,1140.0,112.0,1.0,1.0,1.0,5.0,111.0,131.0,1.0,0
111,0,9.0,1122.0,114.0,1.0,1.0,1.0,5.0,111.0,135.0,2.0,0
112,0,6.0,1122.0,114.0,1.0,1.0,1.0,4.0,111.0,135.0,2.0,1
113,0,10.0,1122.0,126.0,1.0,1.0,1.0,3.0,111.0,137.0,2.0,0
114,0,7.0,1131.0,113.0,1.0,1.0,1.0,5.0,111.0,135.0,1.0,0
115,0,8.0,1122.0,126.0,1.0,1.0,1.0,5.0,111.0,134.0,2.0,1
116,0,4.0,1132.0,111.0,1.0,1.0,1.0,0.0,111.0,131.0,1.0,0
117,1,6.0,1132.0,111.0,1.0,1.0,1.0,5.0,111.0,138.0,1.0,1
118,1,15.0,1122.0,114.0,1.0,1.0,1.0,3.0,120.0,131.0,2.0,1
119,1,15.0,1220.0,111.0,1.0,1.0,1.0,3.0,111.0,138.0,1.0,1
120,1,11.0,1210.0,111.0,1.0,1.0,1.0,3.0,111.0,122.0,4.0,0
121,0,7.0,1122.0,113.0,1.0,1.0,1.0,5.0,111.0,111.0,2.0,1
122,1,8.0,1220.0,111.0,1.0,1.0,1.0,5.0,111.0,136.0,1.0,1
123,0,5.0,1122.0,113.0,1.0,1.0,1.0,0.0,111.0,122.0,2.0,0
124,1,8.0,1110.0,112.0,1.0,1.0,1.0,3.0,111.0,122.0,2.0,0
125,1,15.0,1122.0,112.0,1.0,1.0,1.0,2.0,111.0,137.0,2.0,0
126,1,10.0,1122.0,114.0,1.0,1.0,1.0,0.0,111.0,136.0,2.0,0
127,1,10.0,1122.0,114.0,1.0,1.0,1.0,3.0,120.0,131.0,2.0,1
128,0,6.0,1122.0,113.0,1.0,1.0,1.0,3.0,111.0,131.0,2.0,0
129,1,7.0,1131.0,113.0,1.0,1.0,1.0,5.0,111.0,135.0,2.0,1
