checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
>= 200 DM ,23,no credits taken,domestic appliances,1151,500 <= < 1000 DM,unemployed,4,none,3,savings agreement/life insurance,0,store,own,2,skilled employee / official,2,none,yes,0,married/widowed,0
<0 DM,24,critical account,business,3785,>= 1000 DM,4<= <7 years,3,co-applicant,4,savings agreement/life insurance,1,store,rent,2,unemployed/ unskilled  - non-resident,2,yes,yes,0,married/widowed,0
0 <= <200 DM,24,critical account,others,3755,500 <= < 1000 DM,>=7 years,3,co-applicant,3,unknown / no property,0,bank,for free,2,unemployed/ unskilled  - non-resident,2,yes,no,0,divorced/separated,1
0 <= <200 DM,18,all credits at this bank paid back duly,radio/television,1311,>= 1000 DM,1<= < 4 years,4,co-applicant,3,real estate,1,none,own,2,skilled employee / official,2,yes,no,0,married/widowed,0
0 <= <200 DM,25,no credits taken,car (new),2923,100 <= <500 DM,<1 years,3,none,3,real estate,0,bank,for free,2,skilled employee / official,2,none,no,0,married/widowed,1
<0 DM,21,existing credits paid back duly till now,domestic appliances,3569,<100 DM,unemployed,3,none,3,car or other,0,bank,own,2,unskilled - resident,2,yes,no,1,divorced/separated,0
<0 DM,28,critical account,others,5118,500 <= < 1000 DM,unemployed,3,none,3,savings agreement/life insurance,0,bank,for free,2,unskilled - resident,2,none,no,0,divorced/separated,0
<0 DM,16,no credits taken,furniture/equipment,3633,<100 DM,4<= <7 years,3,co-applicant,3,real estate,1,none,own,2,unemployed/ unskilled  - non-resident,2,none,no,1,divorced/separated,1
0 <= <200 DM,21,delay in paying off,retraining,3974,100 <= <500 DM,1<= < 4 years,3,co-applicant,3,real estate,1,store,rent,2,management/ highly qualified employee,2,none,yes,1,married/widowed,0
0 <= <200 DM,21,all credits at this bank paid back duly,education,3783,100 <= <500 DM,unemployed,4,co-applicant,3,car or other,0,none,own,2,unskilled - resident,2,none,yes,0,married/widowed,0
<0 DM,22,delay in paying off,others,6365,500 <= < 1000 DM,unemployed,3,none,3,unknown / no property,1,none,for free,2,unemployed/ unskilled  - non-resident,1,none,no,0,married/widowed,0
<0 DM,13,existing credits paid back duly till now,furniture/equipment,3301,100 <= <500 DM,4<= <7 years,3,none,3,unknown / no property,0,bank,rent,2,management/ highly qualified employee,1,yes,no,0,divorced/separated,0
>= 200 DM ,21,critical account,business,1656,no savings account,unemployed,4,co-applicant,3,unknown / no property,0,store,own,2,unskilled - resident,2,yes,yes,0,married/widowed,1
<0 DM,21,no credits taken,furniture/equipment,2944,500 <= < 1000 DM,unemployed,4,co-applicant,3,real estate,1,store,for free,2,unskilled - resident,2,yes,yes,0,married/widowed,1
0 <= <200 DM,22,delay in paying off,retraining,4091,100 <= <500 DM,unemployed,4,co-applicant,3,car or other,0,store,for free,2,skilled employee / official,2,yes,yes,0,married/widowed,1
