checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
0 <= <200 DM,29,all credits at this bank paid back duly,domestic appliances,3456,500 <= < 1000 DM,4<= <7 years,4,none,3,real estate,38,bank,own,2,unskilled - resident,2,none,no,male,divorced/separated,0
no account,14,existing credits paid back duly till now,education,4517,no savings account,>=7 years,3,guarantor,4,savings agreement/life insurance,38,store,for free,2,management/ highly qualified employee,2,yes,no,female,married/widowed,1
>= 200 DM ,15,critical account,car (new),3208,500 <= < 1000 DM,>=7 years,3,guarantor,3,car or other,39,none,rent,2,unskilled - resident,2,none,no,male,divorced/separated,0
<0 DM,20,delay in paying off,retraining,3932,no savings account,4<= <7 years,3,co-applicant,3,car or other,39,none,for free,2,unemployed/ unskilled  - non-resident,1,none,yes,male,divorced/separated,0
>= 200 DM ,25,delay in paying off,car (new),4632,500 <= < 1000 DM,unemployed,3,none,4,savings agreement/life insurance,35,none,own,2,unskilled - resident,2,none,yes,male,divorced/separated,0
no account,24,existing credits paid back duly till now,retraining,2674,<100 DM,unemployed,3,none,3,unknown / no property,32,none,own,2,management/ highly qualified employee,2,yes,yes,female,divorced/separated,1
no account,23,delay in paying off,furniture/equipment,4031,no savings account,>=7 years,4,guarantor,3,unknown / no property,32,none,for free,2,management/ highly qualified employee,2,yes,yes,female,divorced/separated,1
<0 DM,24,all credits at this bank paid back duly,retraining,2263,500 <= < 1000 DM,unemployed,4,guarantor,3,car or other,34,bank,for free,2,management/ highly qualified employee,2,none,yes,male,divorced/separated,0
no account,19,existing credits paid back duly till now,radio/television,2640,no savings account,1<= < 4 years,3,guarantor,3,savings agreement/life insurance,41,store,rent,2,management/ highly qualified employee,2,none,no,female,married/widowed,1
>= 200 DM ,24,all credits at this bank paid back duly,others,2280,no savings account,1<= < 4 years,3,guarantor,3,savings agreement/life insurance,35,none,rent,2,management/ highly qualified employee,2,yes,yes,female,married/widowed,1
>= 200 DM ,19,delay in paying off,retraining,3687,<100 DM,unemployed,3,guarantor,3,savings agreement/life insurance,33,none,own,2,management/ highly qualified employee,2,yes,no,female,married/widowed,1
0 <= <200 DM,22,critical account,car (used),4279,100 <= <500 DM,4<= <7 years,4,co-applicant,3,car or other,38,store,own,2,unemployed/ unskilled  - non-resident,2,none,no,female,married/widowed,1
