checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,numner-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
0 <= <200 DM,12,existing credits paid back duly till now,furniture/equipment,6109,<100 DM,>=7 years,2,none,2,car or other,0,bank,own,1,skilled employee / official,1,none,yes,0,divorced/separated,1
<0 DM,25,critical account,radio/television,250,500 <= < 1000 DM,>=7 years,1,co-applicant,2,real estate,1,none,own,1,skilled employee / official,1,yes,no,1,married/widowed,1
no account,23,critical account,furniture/equipment,250,<100 DM,>=7 years,4,none,2,car or other,0,none,own,2,skilled employee / official,1,yes,yes,0,divorced/separated,1
no account,38,critical account,car (new),6029,no savings account,4<= <7 years,1,none,2,car or other,0,none,own,2,unskilled - resident,1,none,yes,0,divorced/separated,1
<0 DM,26,existing credits paid back duly till now,car (new),1390,<100 DM,<1 years,4,none,2,real estate,1,bank,own,1,unskilled - resident,1,none,yes,1,divorced/separated,0
no account,21,existing credits paid back duly till now,business,250,<100 DM,>=7 years,4,none,4,car or other,1,bank,own,2,skilled employee / official,1,yes,yes,1,divorced/separated,1
no account,9,existing credits paid back duly till now,radio/television,2084,<100 DM,4<= <7 years,4,none,2,real estate,0,none,own,1,skilled employee / official,1,none,no,1,divorced/separated,0
<0 DM,25,critical account,car (new),2607,no savings account,1<= < 4 years,4,none,4,car or other,1,bank,for free,1,unskilled - resident,1,yes,yes,0,divorced/separated,1
<0 DM,25,delay in paying off,business,250,<100 DM,unemployed,4,none,2,real estate,1,none,own,1,skilled employee / official,1,yes,yes,0,divorced/separated,0
<0 DM,44,existing credits paid back duly till now,furniture/equipment,633,<100 DM,<1 years,3,none,2,car or other,1,none,own,2,skilled employee / official,1,yes,yes,0,divorced/separated,0
no account,4,critical account,car (new),250,<100 DM,1<= < 4 years,2,none,4,savings agreement/life insurance,1,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated,1
no account,4,existing credits paid back duly till now,business,4126,100 <= <500 DM,1<= < 4 years,2,none,2,unknown / no property,1,none,own,1,management/ highly qualified employee,1,yes,yes,0,divorced/separated,1
no account,4,critical account,furniture/equipment,990,>= 1000 DM,1<= < 4 years,4,none,1,real estate,0,none,own,1,skilled employee / official,1,none,yes,0,divorced/separated,1
<0 DM,22,critical account,car (used),250,500 <= < 1000 DM,4<= <7 years,4,guarantor,4,unknown / no property,0,none,own,1,skilled employee / official,1,none,yes,0,divorced/separated,0
no account,4,all credits at this bank paid back duly,car (new),3632,<100 DM,<1 years,2,none,1,car or other,0,none,rent,1,skilled employee / official,2,yes,yes,0,divorced/separated,1
no account,29,no credits taken,education,11858,<100 DM,1<= < 4 years,4,none,1,car or other,1,bank,own,1,skilled employee / official,2,none,yes,0,divorced/separated,1
no account,41,existing credits paid back duly till now,others,2718,<100 DM,1<= < 4 years,1,none,4,real estate,1,bank,own,1,skilled employee / official,2,none,yes,0,divorced/separated,1
0 <= <200 DM,11,critical account,furniture/equipment,2525,<100 DM,4<= <7 years,1,none,3,car or other,1,bank,own,2,skilled employee / official,1,yes,yes,1,divorced/separated,1
0 <= <200 DM,21,existing credits paid back duly till now,car (new),250,<100 DM,>=7 years,1,none,1,car or other,0,none,own,3,unskilled - resident,1,none,yes,1,divorced/separated,0
no account,17,existing credits paid back duly till now,furniture/equipment,912,<100 DM,>=7 years,1,guarantor,2,real estate,0,none,rent,1,unskilled - resident,1,none,yes,1,divorced/separated,1
no account,30,critical account,car (new),1245,<100 DM,>=7 years,4,none,2,car or other,1,none,own,1,unskilled - resident,2,none,yes,1,divorced/separated,1
0 <= <200 DM,7,delay in paying off,education,1536,<100 DM,>=7 years,4,guarantor,3,car or other,0,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated,0
no account,20,critical account,business,549,no savings account,1<= < 4 years,4,none,4,unknown / no property,0,none,own,1,skilled employee / official,1,none,yes,0,divorced/separated,1
no account,4,delay in paying off,furniture/equipment,2873,500 <= < 1000 DM,1<= < 4 years,2,none,3,real estate,1,none,own,1,skilled employee / official,1,none,yes,0,divorced/separated,1
no account,23,critical account,car (new),250,<100 DM,<1 years,1,none,2,unknown / no property,0,bank,rent,2,unskilled - resident,1,yes,yes,1,divorced/separated,1
<0 DM,20,critical account,car (new),3083,<100 DM,>=7 years,2,co-applicant,1,car or other,0,none,for free,1,unskilled - resident,2,none,yes,1,divorced/separated,1
0 <= <200 DM,15,delay in paying off,car (new),5087,<100 DM,<1 years,2,none,3,real estate,0,bank,own,1,skilled employee / official,1,none,yes,1,divorced/separated,1
<0 DM,21,no credits taken,education,1621,100 <= <500 DM,4<= <7 years,3,none,2,savings agreement/life insurance,0,none,own,1,skilled employee / official,1,none,yes,1,divorced/separated,1
no account,72,existing credits paid back duly till now,furniture/equipment,6906,<100 DM,1<= < 4 years,2,none,2,real estate,1,bank,own,2,skilled employee / official,1,yes,yes,1,divorced/separated,1
0 <= <200 DM,44,existing credits paid back duly till now,radio/television,737,no savings account,>=7 years,3,none,3,unknown / no property,1,store,for free,1,skilled employee / official,1,none,yes,0,divorced/separated,1
>= 200 DM ,21,critical account,radio/television,7723,no savings account,unemployed,4,none,2,savings agreement/life insurance,0,none,own,1,unskilled - resident,1,none,yes,1,divorced/separated,1
no account,31,existing credits paid back duly till now,furniture/equipment,6812,<100 DM,>=7 years,4,co-applicant,3,car or other,0,none,own,1,management/ highly qualified employee,1,yes,yes,1,divorced/separated,1
<0 DM,47,critical account,car (new),2457,<100 DM,<1 years,4,none,1,real estate,1,none,own,2,skilled employee / official,1,yes,yes,1,divorced/separated,1
0 <= <200 DM,23,critical account,radio/television,2224,<100 DM,1<= < 4 years,3,none,3,unknown / no property,1,none,own,1,skilled employee / official,1,yes,yes,1,divorced/separated,1
<0 DM,49,delay in paying off,furniture/equipment,5407,<100 DM,unemployed,2,none,3,car or other,0,store,own,1,management/ highly qualified employee,1,yes,yes,0,married/widowed,1
no account,13,critical account,business,3855,<100 DM,>=7 years,4,none,2,car or other,1,none,rent,1,management/ highly qualified employee,2,none,yes,0,divorced/separated,1
no account,24,existing credits paid back duly till now,radio/television,1953,<100 DM,<1 years,4,none,4,car or other,0,bank,own,1,unskilled - resident,1,none,yes,0,divorced/separated,1
<0 DM,40,all credits at this bank paid back duly,furniture/equipment,364,<100 DM,>=7 years,4,none,3,car or other,0,none,own,1,unemployed/ unskilled  - non-resident,2,yes,yes,0,divorced/separated,1
0 <= <200 DM,37,delay in paying off,others,250,<100 DM,1<= < 4 years,1,none,2,car or other,1,none,own,1,management/ highly qualified employee,1,yes,no,1,divorced/separated,1
<0 DM,25,critical account,education,3077,<100 DM,<1 years,3,none,2,real estate,1,none,own,1,unskilled - resident,1,none,yes,1,divorced/separated,1
no account,27,existing credits paid back duly till now,radio/television,557,<100 DM,<1 years,2,none,4,car or other,0,none,own,2,skilled employee / official,1,none,yes,1,divorced/separated,0
