checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,numner-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
<0 DM,4.0,existing credits paid back duly till now,repairs,1128.2064,<100 DM,<1 years,4.0,guarantor,1.0,car or other,25<=x<=65,bank,rent,1.0,unemployed/ unskilled  - non-resident,1.0,none,yes,female,divorced/separated,1
no account,4.0,delay in paying off,radio/television,1536.784,no savings account,4<= <7 years,1.0,co-applicant,4.0,real estate,x<25 or x>65,none,rent,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
0 <= <200 DM,18.0,delay in paying off,repairs,1348.6523,500 <= < 1000 DM,1<= < 4 years,4.0,none,1.0,real estate,25<=x<=65,bank,own,1.0,unemployed/ unskilled  - non-resident,1.0,yes,yes,male,divorced/separated,1
no account,36.0,critical account,radio/television,250.0,500 <= < 1000 DM,>=7 years,1.0,none,4.0,real estate,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
<0 DM,72.0,critical account,car (new),1305.0457,<100 DM,1<= < 4 years,4.0,none,3.5620272,real estate,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,10.56898,existing credits paid back duly till now,car (new),4070.4949,no savings account,1<= < 4 years,4.0,none,1.0,real estate,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
>= 200 DM ,6.0,existing credits paid back duly till now,car (new),2978.594,500 <= < 1000 DM,unemployed,3.0,none,2.0,real estate,25<=x<=65,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,0
0 <= <200 DM,4.0,no credits taken,retraining,1335.7563,<100 DM,<1 years,4.0,none,3.0,car or other,25<=x<=65,none,own,1.0,unskilled - resident,1.0,yes,yes,male,married/widowed,0
no account,63.629868,existing credits paid back duly till now,furniture/equipment,2703.5771,100 <= <500 DM,1<= < 4 years,3.0,none,2.0,real estate,25<=x<=65,none,own,2.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
<0 DM,13.175664,existing credits paid back duly till now,furniture/equipment,3174.5823,100 <= <500 DM,<1 years,2.0,none,4.0,real estate,25<=x<=65,bank,own,1.0,management/ highly qualified employee,1.0,none,yes,female,divorced/separated,1
<0 DM,49.200283,existing credits paid back duly till now,others,1877.1213,<100 DM,>=7 years,1.0,none,3.0,unknown / no property,25<=x<=65,none,own,2.0,management/ highly qualified employee,1.0,none,yes,female,divorced/separated,1
no account,24.0,existing credits paid back duly till now,radio/television,250.0,<100 DM,>=7 years,4.0,none,2.0,car or other,25<=x<=65,none,own,2.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
no account,21.0,existing credits paid back duly till now,business,2792.2603,<100 DM,1<= < 4 years,4.0,none,2.0,real estate,25<=x<=65,bank,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,9.0,delay in paying off,furniture/equipment,4283.124,no savings account,4<= <7 years,4.0,none,2.0,real estate,25<=x<=65,none,rent,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,9.005921,existing credits paid back duly till now,radio/television,2165.2615,<100 DM,1<= < 4 years,4.0,none,2.0,unknown / no property,25<=x<=65,none,rent,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,36.0,existing credits paid back duly till now,furniture/equipment,18424.0,<100 DM,>=7 years,4.0,none,1.0,real estate,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
no account,9.0,critical account,car (new),969.2951,<100 DM,<1 years,2.0,none,3.0,savings agreement/life insurance,25<=x<=65,none,rent,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,0
0 <= <200 DM,12.0,critical account,radio/television,1109.9679,100 <= <500 DM,unemployed,2.0,none,3.0,unknown / no property,25<=x<=65,none,own,1.0,management/ highly qualified employee,1.0,yes,yes,male,divorced/separated,1
<0 DM,4.0,critical account,car (new),5357.103,<100 DM,1<= < 4 years,1.0,none,4.0,car or other,25<=x<=65,none,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,0
<0 DM,15.0,delay in paying off,business,2141.8513,<100 DM,unemployed,4.0,none,2.0,real estate,25<=x<=65,bank,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,0
no account,72.0,critical account,car (used),3830.3108,100 <= <500 DM,>=7 years,4.0,none,2.0,car or other,25<=x<=65,none,own,2.0,skilled employee / official,1.0,yes,yes,female,married/widowed,1
<0 DM,72.0,critical account,retraining,1640.1162,>= 1000 DM,>=7 years,1.0,none,4.0,savings agreement/life insurance,25<=x<=65,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,12.0,existing credits paid back duly till now,business,2222.1792,500 <= < 1000 DM,<1 years,4.0,none,2.0,savings agreement/life insurance,25<=x<=65,bank,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
