checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,numner-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
no account,72.0,existing credits paid back duly till now,furniture/equipment,18424.0,<100 DM,>=7 years,4.0,none,2.0,real estate,19.0,bank,own,1.0,unemployed/ unskilled  - non-resident,1.0,yes,yes,female,divorced/separated,0
0 <= <200 DM,12.0,existing credits paid back duly till now,car (new),1774.2507,no savings account,1<= < 4 years,4.0,none,2.0,real estate,38.326183,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
<0 DM,13.362202,critical account,furniture/equipment,18424.0,no savings account,<1 years,4.0,none,2.0,unknown / no property,24.0,none,rent,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,4.0,no credits taken,business,1883.7435,no savings account,<1 years,4.0,none,2.0,unknown / no property,28.0,bank,own,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,1
<0 DM,12.172022,existing credits paid back duly till now,car (new),2051.3228,<100 DM,<1 years,4.0,none,1.0,unknown / no property,37.97446,none,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
no account,18.0,existing credits paid back duly till now,furniture/equipment,2284.6785,<100 DM,<1 years,4.0,none,4.0,savings agreement/life insurance,32.0,store,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
0 <= <200 DM,24.0,existing credits paid back duly till now,radio/television,3964.7937,<100 DM,1<= < 4 years,3.0,none,4.0,unknown / no property,24.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
<0 DM,18.0,existing credits paid back duly till now,car (used),1394.9071,<100 DM,>=7 years,4.0,none,4.0,car or other,34.12296,none,own,1.0,unskilled - resident,1.0,none,no,male,divorced/separated,1
no account,36.0,delay in paying off,radio/television,18424.0,<100 DM,unemployed,2.0,none,4.0,car or other,26.0,none,own,1.0,unskilled - resident,1.0,none,yes,male,married/widowed,1
no account,72.0,existing credits paid back duly till now,car (new),18424.0,500 <= < 1000 DM,>=7 years,4.0,co-applicant,2.0,unknown / no property,27.0,bank,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
>= 200 DM ,4.0,delay in paying off,car (new),250.0,<100 DM,1<= < 4 years,4.0,none,2.0,car or other,75.0,none,own,2.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
<0 DM,72.0,existing credits paid back duly till now,furniture/equipment,18424.0,<100 DM,1<= < 4 years,4.0,none,4.0,real estate,19.0,none,for free,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,0
0 <= <200 DM,72.0,critical account,furniture/equipment,3639.543,<100 DM,1<= < 4 years,4.0,none,4.0,unknown / no property,49.885517,none,own,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
no account,15.0,critical account,radio/television,1316.1909,500 <= < 1000 DM,<1 years,4.0,none,4.0,car or other,48.496742,none,rent,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,0
0 <= <200 DM,18.0,critical account,furniture/equipment,1477.5387,100 <= <500 DM,4<= <7 years,3.0,none,1.0,savings agreement/life insurance,43.61542,none,own,2.0,skilled employee / official,2.0,none,yes,male,divorced/separated,0
0 <= <200 DM,9.0,existing credits paid back duly till now,radio/television,250.0,100 <= <500 DM,1<= < 4 years,4.0,none,1.0,savings agreement/life insurance,34.0,none,own,2.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,1
<0 DM,66.092155,existing credits paid back duly till now,furniture/equipment,2067.3967,<100 DM,1<= < 4 years,4.0,none,4.0,unknown / no property,75.0,none,for free,1.0,skilled employee / official,1.0,yes,yes,female,divorced/separated,1
<0 DM,24.0,critical account,furniture/equipment,18424.0,<100 DM,>=7 years,2.0,none,3.0,real estate,42.0,none,for free,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
no account,12.0,critical account,radio/television,1889.1248,500 <= < 1000 DM,1<= < 4 years,4.0,none,2.348398,car or other,34.0,none,own,1.0,unskilled - resident,1.0,yes,yes,male,divorced/separated,0
0 <= <200 DM,12.0,critical account,radio/television,4343.218,<100 DM,1<= < 4 years,4.0,none,3.0,car or other,28.0,none,rent,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,0
no account,72.0,existing credits paid back duly till now,furniture/equipment,18424.0,<100 DM,>=7 years,3.0,none,2.0,unknown / no property,26.972172,none,own,1.0,skilled employee / official,2.0,none,yes,male,divorced/separated,1
>= 200 DM ,24.0,existing credits paid back duly till now,business,18424.0,<100 DM,4<= <7 years,2.0,none,4.0,unknown / no property,26.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,1
0 <= <200 DM,24.0,existing credits paid back duly till now,car (new),1821.4291,<100 DM,<1 years,4.0,none,4.0,unknown / no property,32.0,none,own,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
<0 DM,72.0,critical account,others,2503.7825,<100 DM,>=7 years,4.0,none,2.0,car or other,38.97864,none,own,2.0,skilled employee / official,1.0,none,yes,female,divorced/separated,1
0 <= <200 DM,4.0,existing credits paid back duly till now,car (used),1077.8856,<100 DM,<1 years,4.0,none,2.0,savings agreement/life insurance,31.686958,none,own,1.0,skilled employee / official,1.0,yes,yes,female,divorced/separated,1
0 <= <200 DM,72.0,existing credits paid back duly till now,car (new),862.1168,<100 DM,4<= <7 years,4.0,none,4.0,car or other,34.0,none,own,1.0,unskilled - resident,1.0,none,yes,female,divorced/separated,1
no account,9.0,existing credits paid back duly till now,furniture/equipment,11585.567,<100 DM,>=7 years,4.0,none,2.0,real estate,29.0,none,for free,1.0,unskilled - resident,1.0,none,yes,male,divorced/separated,1
no account,9.0,critical account,car (used),314.2276,100 <= <500 DM,4<= <7 years,4.0,guarantor,2.0,car or other,48.51359,bank,rent,1.0,skilled employee / official,1.0,none,yes,male,divorced/separated,1
<0 DM,18.0,existing credits paid back duly till now,radio/television,1458.7046,<100 DM,1<= < 4 years,4.0,none,4.0,car or other,28.690817,none,own,1.0,skilled employee / official,1.0,none,yes,female,divorced/separated,1
no account,68.86154,existing credits paid back duly till now,radio/television,13714.367,100 <= <500 DM,1<= < 4 years,4.0,none,2.0,savings agreement/life insurance,26.0,none,own,1.0,skilled employee / official,1.0,yes,yes,male,divorced/separated,0
no account,4.0,existing credits paid back duly till now,radio/television,3203.0547,<100 DM,<1 years,4.0,none,1.0,savings agreement/life insurance,30.0,none,own,1.0,unskilled - resident,1.0,yes,yes,female,divorced/separated,0
no account,72.0,existing credits paid back duly till now,others,18424.0,<100 DM,<1 years,4.0,none,4.0,car or other,24.0,none,own,1.0,management/ highly qualified employee,1.0,none,yes,male,divorced/separated,0
