checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
<0 DM,13,critical account,others,2168,100 <= <500 DM,1<= < 4 years,4,none,4,unknown / no property,1,none,rent,2,skilled employee / official,2,none,yes,1,married/widowed,1
0 <= <200 DM,20,no credits taken,business,3924,no savings account,>=7 years,3,guarantor,3,unknown / no property,1,store,for free,2,management/ highly qualified employee,2,none,no,1,divorced/separated,0
0 <= <200 DM,18,existing credits paid back duly till now,repairs,3312,500 <= < 1000 DM,1<= < 4 years,3,guarantor,3,car or other,1,store,rent,2,unemployed/ unskilled  - non-resident,2,yes,yes,1,divorced/separated,0
0 <= <200 DM,21,critical account,repairs,3096,no savings account,4<= <7 years,4,co-applicant,3,unknown / no property,1,bank,rent,2,unskilled - resident,2,none,yes,1,married/widowed,1
<0 DM,15,no credits taken,car (new),2899,500 <= < 1000 DM,>=7 years,3,none,4,real estate,0,bank,rent,2,skilled employee / official,2,none,yes,1,married/widowed,1
<0 DM,18,critical account,car (new),2769,>= 1000 DM,>=7 years,3,co-applicant,3,car or other,1,bank,rent,2,unemployed/ unskilled  - non-resident,1,yes,yes,0,married/widowed,0
>= 200 DM ,22,existing credits paid back duly till now,radio/television,3391,100 <= <500 DM,<1 years,4,none,3,savings agreement/life insurance,0,bank,for free,2,unskilled - resident,2,none,no,1,divorced/separated,1
<0 DM,24,critical account,radio/television,4228,500 <= < 1000 DM,4<= <7 years,4,guarantor,4,unknown / no property,1,none,own,2,management/ highly qualified employee,2,none,no,1,married/widowed,1
<0 DM,21,critical account,repairs,2725,no savings account,<1 years,3,co-applicant,4,unknown / no property,0,none,own,2,unemployed/ unskilled  - non-resident,2,yes,no,1,married/widowed,1
<0 DM,19,delay in paying off,radio/television,4411,no savings account,4<= <7 years,3,guarantor,3,car or other,1,none,rent,2,unemployed/ unskilled  - non-resident,2,none,no,0,divorced/separated,1
<0 DM,20,existing credits paid back duly till now,others,3889,no savings account,4<= <7 years,4,none,4,real estate,1,store,for free,2,unemployed/ unskilled  - non-resident,2,none,no,0,divorced/separated,0
>= 200 DM ,17,all credits at this bank paid back duly,repairs,3057,no savings account,4<= <7 years,3,none,3,car or other,1,bank,own,2,skilled employee / official,2,yes,no,0,divorced/separated,1
<0 DM,22,existing credits paid back duly till now,car (used),3586,100 <= <500 DM,>=7 years,4,co-applicant,4,car or other,0,none,own,2,unemployed/ unskilled  - non-resident,2,yes,no,1,divorced/separated,0
<0 DM,25,existing credits paid back duly till now,repairs,2355,>= 1000 DM,unemployed,4,co-applicant,3,unknown / no property,0,store,for free,2,unemployed/ unskilled  - non-resident,2,yes,no,1,divorced/separated,0
