checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
0 <= <200 DM,4.0,all credits at this bank paid back duly,furniture/equipment,2974.651,no savings account,4<= <7 years,4.0,none,3.0,car or other,0,none,rent,1.0,unskilled - resident,1.0,yes,yes,1,divorced/separated,1
no account,12.0,existing credits paid back duly till now,radio/television,1435.3374,<100 DM,1<= < 4 years,4.0,none,3.0,unknown / no property,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,0
0 <= <200 DM,18.0,existing credits paid back duly till now,radio/television,6239.0303,<100 DM,unemployed,3.0,none,2.961217,car or other,1,none,rent,1.0,unskilled - resident,1.0,yes,yes,0,married/widowed,1
no account,12.0,existing credits paid back duly till now,furniture/equipment,1359.6476,<100 DM,>=7 years,1.0,guarantor,2.0,savings agreement/life insurance,1,none,own,1.0,unskilled - resident,1.0,none,yes,0,divorced/separated,1
<0 DM,12.646144,existing credits paid back duly till now,others,1323.2555,<100 DM,>=7 years,4.0,none,4.0,real estate,1,none,own,1.0,skilled employee / official,1.0,yes,no,0,married/widowed,1
0 <= <200 DM,4.0,existing credits paid back duly till now,furniture/equipment,18424.0,<100 DM,4<= <7 years,4.0,none,4.0,car or other,1,none,own,1.0,skilled employee / official,1.0,none,yes,0,divorced/separated,1
>= 200 DM ,22.237825,critical account,radio/television,2295.6726,no savings account,>=7 years,4.0,none,2.0,unknown / no property,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
<0 DM,6.0173173,critical account,car (new),1320.5471,no savings account,1<= < 4 years,4.0,none,2.0,real estate,1,none,own,1.0,unskilled - resident,1.0,yes,yes,0,divorced/separated,0
no account,4.0,existing credits paid back duly till now,furniture/equipment,3238.618,500 <= < 1000 DM,4<= <7 years,4.0,none,4.0,car or other,1,none,rent,1.0,unskilled - resident,1.0,yes,yes,1,divorced/separated,0
no account,72.0,existing credits paid back duly till now,car (used),2360.811,<100 DM,1<= < 4 years,4.0,none,2.0,car or other,1,none,own,3.1896467,skilled employee / official,1.0,yes,yes,0,divorced/separated,1
>= 200 DM ,24.0,existing credits paid back duly till now,car (new),1429.5685,no savings account,4<= <7 years,2.0,none,4.0,car or other,1,none,own,1.0,skilled employee / official,1.0,none,yes,0,divorced/separated,0
0 <= <200 DM,12.0,critical account,car (new),1369.803,no savings account,1<= < 4 years,1.0,none,4.0,car or other,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
<0 DM,18.0,existing credits paid back duly till now,furniture/equipment,18424.0,<100 DM,1<= < 4 years,4.0,none,2.0,car or other,1,none,own,1.0,skilled employee / official,1.0,yes,yes,0,divorced/separated,1
no account,19.234865,critical account,radio/television,18424.0,<100 DM,1<= < 4 years,4.0,guarantor,4.0,unknown / no property,1,none,own,1.0,unskilled - resident,1.0,none,yes,1,divorced/separated,1
no account,18.0,existing credits paid back duly till now,furniture/equipment,3133.4482,no savings account,>=7 years,3.0,none,3.0,car or other,0,none,own,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
no account,9.0,critical account,furniture/equipment,2393.306,<100 DM,unemployed,4.0,none,4.0,savings agreement/life insurance,0,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
0 <= <200 DM,72.0,existing credits paid back duly till now,furniture/equipment,1040.527,100 <= <500 DM,>=7 years,3.0,guarantor,4.0,car or other,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
no account,12.0,existing credits paid back duly till now,furniture/equipment,1488.3804,<100 DM,<1 years,4.0,none,1.0,savings agreement/life insurance,1,bank,own,1.0,management/ highly qualified employee,1.0,yes,yes,0,divorced/separated,0
<0 DM,15.0,critical account,furniture/equipment,250.0,no savings account,1<= < 4 years,4.0,none,2.0,real estate,1,none,rent,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,0
0 <= <200 DM,24.0,existing credits paid back duly till now,furniture/equipment,2000.6797,<100 DM,4<= <7 years,2.0,none,2.0,unknown / no property,1,none,own,1.0,unemployed/ unskilled  - non-resident,1.0,yes,yes,1,divorced/separated,1
no account,72.0,existing credits paid back duly till now,car (new),1327.6133,<100 DM,<1 years,4.0,none,4.0,car or other,0,none,for free,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
<0 DM,24.0,critical account,furniture/equipment,18424.0,<100 DM,>=7 years,3.0,none,2.0,savings agreement/life insurance,0,none,for free,1.0,skilled employee / official,1.0,yes,yes,0,divorced/separated,0
<0 DM,37.21838,existing credits paid back duly till now,radio/television,877.6107,<100 DM,1<= < 4 years,4.0,none,1.0,car or other,0,store,own,1.6584336,unskilled - resident,1.0,yes,yes,1,divorced/separated,1
<0 DM,24.0,critical account,car (new),2093.5286,no savings account,>=7 years,1.0,none,1.0,real estate,1,none,own,1.0,unskilled - resident,1.0,yes,yes,1,divorced/separated,1
no account,36.0,critical account,car (new),18424.0,<100 DM,<1 years,4.0,none,4.0,car or other,1,none,own,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
0 <= <200 DM,12.0,existing credits paid back duly till now,furniture/equipment,18424.0,<100 DM,>=7 years,4.0,none,4.0,savings agreement/life insurance,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,0
<0 DM,24.0,existing credits paid back duly till now,radio/television,18424.0,<100 DM,<1 years,4.0,none,4.0,savings agreement/life insurance,1,none,own,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
0 <= <200 DM,24.0,existing credits paid back duly till now,retraining,250.0,<100 DM,unemployed,3.0,none,2.0,car or other,1,none,for free,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,0
no account,72.0,critical account,radio/television,2129.706,<100 DM,1<= < 4 years,3.0,none,4.0,real estate,1,none,for free,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
