\begin{table}[H]
\begin{center}
\caption{PAKDD dataset: performance of predictive models. Protected attribute: AGE}
\begin{tabular}{c c c c c c c c c c}
\hline
\textbf{Method}&\multicolumn{9}{c}{\textbf{Predictive model}} \\
\hline
\textbf{}&\multicolumn{9}{c}{\textbf{MLP}} \\
\textbf{} &Acc &BA &SP &EO &EOd &PP &PE &TE &ABROCA \\
\hline
Origins &0.7388 &0.5 &-0.0003 &0.0017 &0.0017 &0.3631 &0.0001 &95.0834 &0.0214 \\
DGGAN &\textbf{\textcolor{red}{0.7721}} &\textbf{\textcolor{red}{0.5054}} &-0.0115 &0.0118 &0.0237 &\textbf{\textcolor{red}{0.013}} &0.0119 &-140.6497 &0.0435 \\
CTGAN &0.7625 &0.5001 &-0.0003 &0.0009 &0.0012 &0.3556 &0.0002 &-180.7916 &0.0023 \\
TabFairGan &0.7288 &0.5015 &-0.0067 &0.0079 &0.0136 &0.2052 &0.0056 &-221.6967 &0.0166 \\
FixedTabFairGanNoSM &0.7332 &0.499 &-0.0004 &0.0009 &0.0012 &0.1032 &0.0003 &\textbf{\textcolor{red}{1.6508}} &\textbf{\textcolor{red}{0.0006}} \\
TabFairGanEOd &0.7374 &0.5038 &-0.0057 &0.0125 &0.0156 &0.245 &0.003 &45.198 &0.0637 \\
DGGanEOd &0.7423 &0.5 &\textbf{\textcolor{red}{0.0}} &\textbf{\textcolor{red}{0.0}} &\textbf{\textcolor{red}{0.0}} &nan &\textbf{\textcolor{red}{0.0}} &nan &0.0014 \\
\hline
\textbf{}&\multicolumn{9}{c}{\textbf{KNN}} \\
\textbf{} &Acc &BA &SP &EO &EOd &PP &PE &TE &ABROCA \\
\hline
Origins &0.6904 &0.5093 &0.0065 &0.0197 &0.0314 &0.0521 &0.0117 &0.5975 &0.0253 \\
DGGAN &\textbf{\textcolor{red}{0.729}} &0.5011 &\textbf{\textcolor{red}{-0.0006}} &0.0133 &0.0278 &\textbf{\textcolor{red}{0.0253}} &0.0144 &\textbf{\textcolor{red}{-0.0514}} &0.0152 \\
CTGAN &0.7149 &0.5022 &-0.0016 &\textbf{\textcolor{red}{0.0114}} &\textbf{\textcolor{red}{0.0178}} &0.0378 &\textbf{\textcolor{red}{0.0064}} &0.6452 &0.0092 \\
TabFairGan &0.6738 &0.5068 &-0.0152 &0.0249 &0.0391 &0.1371 &0.0141 &1.4175 &0.0118 \\
FixedTabFairGanNoSM &0.5256 &0.5082 &-0.0117 &0.0118 &0.0259 &0.0859 &0.014 &-125.3394 &\textbf{\textcolor{red}{0.0036}} \\
TabFairGanEOd &0.6907 &\textbf{\textcolor{red}{0.5151}} &0.0016 &0.0271 &0.0434 &0.141 &0.0163 &1.2795 &0.0302 \\
DGGanEOd &0.6911 &0.5072 &0.0035 &0.0162 &0.0302 &0.0331 &0.014 &-0.0942 &0.0142 \\
\hline
\textbf{}&\multicolumn{9}{c}{\textbf{DT}} \\
\textbf{} &Acc &BA &SP &EO &EOd &PP &PE &TE &ABROCA \\
\hline
Origins &0.6139 &0.5158 &-0.0101 &\textbf{\textcolor{red}{0.025}} &\textbf{\textcolor{red}{0.0376}} &0.0332 &0.0126 &0.0445 &0.0099 \\
DGGAN &0.6351 &0.5006 &-0.0226 &0.0269 &0.0567 &\textbf{\textcolor{red}{0.0251}} &0.0298 &-0.0875 &0.022 \\
CTGAN &\textbf{\textcolor{red}{0.6555}} &0.5365 &-0.032 &0.0326 &0.0623 &0.0398 &0.0297 &0.0626 &\textbf{\textcolor{red}{0.0087}} \\
TabFairGan &0.6303 &0.5394 &-0.1238 &0.1229 &0.2344 &0.1261 &0.1115 &0.0243 &0.0114 \\
FixedTabFairGanNoSM &0.616 &\textbf{\textcolor{red}{0.5486}} &-0.0291 &0.0711 &0.1281 &0.0664 &0.057 &0.0769 &0.0151 \\
TabFairGanEOd &0.6354 &0.5405 &-0.0641 &0.0882 &0.1353 &0.083 &0.047 &\textbf{\textcolor{red}{-0.0083}} &0.0184 \\
DGGanEOd &0.6123 &0.5067 &\textbf{\textcolor{red}{-0.0016}} &0.0317 &0.0415 &0.0542 &\textbf{\textcolor{red}{0.0097}} &-0.0824 &0.0116 \\
\hline
\textbf{}&\multicolumn{9}{c}{\textbf{LR}} \\
\textbf{} &Acc &BA &SP &EO &EOd &PP &PE &TE &ABROCA \\
\hline
Origins &0.739 &0.5 &0.0 &0.0 &0.0 &nan &0.0 &nan &0.0211 \\
DGGAN &\textbf{\textcolor{red}{0.7788}} &0.4997 &0.0001 &0.0002 &0.0004 &\textbf{\textcolor{red}{0.0334}} &0.0002 &\textbf{\textcolor{red}{2.3544}} &0.0222 \\
CTGAN &0.7627 &0.5003 &-0.0002 &0.0003 &0.0005 &0.1 &0.0002 &-284.3333 &\textbf{\textcolor{red}{0.0178}} \\
TabFairGan &0.7288 &0.5 &0.0 &\textbf{\textcolor{red}{0.0}} &\textbf{\textcolor{red}{0.0}} &nan &\textbf{\textcolor{red}{0.0}} &nan &0.039 \\
FixedTabFairGanNoSM &0.7315 &\textbf{\textcolor{red}{0.5026}} &-0.0079 &0.015 &0.0198 &0.388 &0.0048 &-27.4309 &0.07 \\
TabFairGanEOd &0.7372 &0.5 &\textbf{\textcolor{red}{-0.0}} &0.0009 &0.0012 &0.4421 &0.0003 &142.75 &0.0341 \\
DGGanEOd &0.7421 &0.5005 &-0.0003 &0.0012 &0.0024 &0.2035 &0.0012 &-72.0492 &0.0284 \\
\hline
\end{tabular}
\end{center}
\end{table}
