\begin{table}[H]
\begin{center}
\caption{PAKDD dataset: performance of predictive models. Protected attribute: SEX}
\begin{tabular}{c c c c c c c c c c}
\hline
\textbf{Method}&\multicolumn{9}{c}{\textbf{Predictive model}} \\
\hline
\textbf{}&\multicolumn{9}{c}{\textbf{MLP}} \\
\textbf{} &Acc &BA &SP &EO &EOd &PP &PE &TE &ABROCA \\
\hline
Origins &0.7391 &0.5002 &-0.0001 &0.0003 &0.0003 &0.25 &0.0001 &nan &0.0189 \\
DGGAN &\textbf{\textcolor{red}{0.7768}} &0.5014 &0.0035 &0.0059 &0.0109 &\textbf{\textcolor{red}{0.0992}} &0.005 &\textbf{\textcolor{red}{4.0859}} &0.0365 \\
CTGAN &0.7627 &0.5 &0.0 &0.0 &0.0 &nan &0.0 &nan &0.0026 \\
TabFairGan &0.7374 &\textbf{\textcolor{red}{0.503}} &-0.0004 &0.0047 &0.0065 &0.2281 &0.0018 &-26.888 &0.0102 \\
FixedTabFairGanNoSM &0.7383 &0.5 &0.0 &0.0 &\textbf{\textcolor{red}{0.0}} &nan &\textbf{\textcolor{red}{0.0}} &nan &0.0027 \\
TabFairGanEOd &0.7404 &0.5008 &0.0003 &0.0009 &0.0017 &0.2222 &0.0008 &117.05 &0.0138 \\
DGGanEOd &0.7441 &0.5 &\textbf{\textcolor{red}{-0.0}} &\textbf{\textcolor{red}{0.0}} &0.0001 &nan &0.0001 &nan &\textbf{\textcolor{red}{0.001}} \\
\hline
\textbf{}&\multicolumn{9}{c}{\textbf{KNN}} \\
\textbf{} &Acc &BA &SP &EO &EOd &PP &PE &TE &ABROCA \\
\hline
Origins &0.6904 &0.5093 &0.0021 &0.0124 &0.0209 &\textbf{\textcolor{red}{0.0322}} &0.0085 &-0.2561 &\textbf{\textcolor{red}{0.0095}} \\
DGGAN &\textbf{\textcolor{red}{0.729}} &0.5011 &-0.0046 &0.0114 &0.0211 &0.0508 &0.0098 &-0.9318 &0.0216 \\
CTGAN &0.7149 &0.5022 &\textbf{\textcolor{red}{0.0002}} &\textbf{\textcolor{red}{0.005}} &\textbf{\textcolor{red}{0.009}} &0.0674 &\textbf{\textcolor{red}{0.004}} &-1.3419 &0.0143 \\
TabFairGan &0.6913 &\textbf{\textcolor{red}{0.5161}} &-0.0033 &0.0215 &0.0293 &0.0533 &0.0078 &0.3086 &0.0176 \\
FixedTabFairGanNoSM &0.5705 &0.5103 &-0.0099 &0.0285 &0.0338 &0.0602 &0.0053 &-2.3515 &0.015 \\
TabFairGanEOd &0.6936 &0.5139 &0.0007 &0.0107 &0.0168 &0.0483 &0.006 &-0.4776 &0.019 \\
DGGanEOd &0.6907 &0.503 &0.0013 &0.0144 &0.0231 &0.0514 &0.0086 &\textbf{\textcolor{red}{0.2045}} &0.0119 \\
\hline
\textbf{}&\multicolumn{9}{c}{\textbf{DT}} \\
\textbf{} &Acc &BA &SP &EO &EOd &PP &PE &TE &ABROCA \\
\hline
Origins &0.6169 &0.5187 &0.0232 &0.0445 &0.0589 &0.041 &0.0144 &\textbf{\textcolor{red}{0.0051}} &0.0188 \\
DGGAN &0.6348 &0.5004 &0.0414 &0.0329 &0.0769 &0.0366 &0.044 &-0.0325 &0.01 \\
CTGAN &\textbf{\textcolor{red}{0.6553}} &0.5344 &0.0737 &0.0822 &0.1462 &0.0863 &0.064 &-0.0332 &0.0132 \\
TabFairGan &0.6334 &0.5383 &-0.0138 &0.0332 &0.0522 &\textbf{\textcolor{red}{0.0144}} &0.019 &0.0422 &0.0135 \\
FixedTabFairGanNoSM &0.6264 &0.5473 &0.0484 &0.048 &0.0922 &0.0328 &0.0442 &0.0469 &\textbf{\textcolor{red}{0.0097}} \\
TabFairGanEOd &0.6482 &\textbf{\textcolor{red}{0.5503}} &0.0384 &0.0471 &0.0782 &0.0394 &0.0311 &0.0333 &0.0138 \\
DGGanEOd &0.6118 &0.5088 &\textbf{\textcolor{red}{-0.0124}} &\textbf{\textcolor{red}{0.0267}} &\textbf{\textcolor{red}{0.0381}} &0.0374 &\textbf{\textcolor{red}{0.0114}} &0.0124 &0.0149 \\
\hline
\textbf{}&\multicolumn{9}{c}{\textbf{LR}} \\
\textbf{} &Acc &BA &SP &EO &EOd &PP &PE &TE &ABROCA \\
\hline
Origins &0.739 &0.5 &0.0 &0.0 &0.0 &nan &0.0 &nan &0.0253 \\
DGGAN &\textbf{\textcolor{red}{0.7788}} &0.4997 &0.0007 &0.0007 &0.0014 &\textbf{\textcolor{red}{0.0177}} &0.0007 &\textbf{\textcolor{red}{2.2766}} &0.018 \\
CTGAN &0.7627 &0.5003 &0.0002 &0.0011 &0.0013 &0.7143 &0.0002 &nan &0.018 \\
TabFairGan &0.7371 &\textbf{\textcolor{red}{0.5006}} &-0.0003 &0.0014 &0.0018 &0.4514 &0.0004 &109.7381 &0.0458 \\
FixedTabFairGanNoSM &0.7378 &0.5005 &-0.0011 &0.0011 &0.0022 &0.1117 &0.0011 &-127.582 &0.0777 \\
TabFairGanEOd &0.7403 &0.5 &0.0 &0.0 &0.0 &nan &0.0 &nan &0.0645 \\
DGGanEOd &0.7441 &0.5 &\textbf{\textcolor{red}{-0.0}} &\textbf{\textcolor{red}{0.0}} &\textbf{\textcolor{red}{0.0}} &nan &\textbf{\textcolor{red}{0.0}} &nan &\textbf{\textcolor{red}{0.0125}} \\
\hline
\end{tabular}
\end{center}
\end{table}
