\begin{table}[H]
\begin{center}
\caption{Adult dataset: performance of predictive models. Protected attribute: race}
\begin{tabular}{c c c c c c c c c c}
\hline
\textbf{Method}&\multicolumn{9}{c}{\textbf{Predictive model}} \\
\hline
\textbf{}&\multicolumn{9}{c}{\textbf{MLP}} \\
\textbf{} &Acc &BA &SP &EO &EOd &PP &PE &TE &ABROCA \\
\hline
adult.csv &0.6764 &0.5867 &0.0257 &0.0099 &0.0208 &0.0578 &0.0109 &-0.607 &0.0379 \\
adult\_generation.csv &0.5291 &0.5216 &-0.0336 &0.0518 &0.0903 &0.0822 &0.0385 &0.3182 &0.0631 \\
adult\_generation\_2.csv &0.9901 &\textbf{\textcolor{red}{0.4997}} &\textbf{\textcolor{red}{-0.0017}} &\textbf{\textcolor{red}{0.0}} &\textbf{\textcolor{red}{0.0}} &\textbf{\textcolor{red}{0.0}} &\textbf{\textcolor{red}{0.0017}} &-25.0 &\textbf{\textcolor{red}{0.0184}} \\
adult\_generation\_3\_race.csv &0.7606 &0.5064 &0.0018 &0.0014 &0.0062 &0.0374 &0.0048 &\textbf{\textcolor{red}{-0.0011}} &0.0401 \\
adult\_generation\_4\_race.csv &0.8979 &0.7662 &-0.0276 &0.1731 &0.2036 &0.3142 &0.0305 &-5.8717 &0.1079 \\
adult\_generation\_5.csv &\textbf{\textcolor{red}{0.4447}} &0.5392 &0.0076 &0.0329 &0.0367 &0.1486 &0.0038 &-2.1744 &0.0234 \\
adult\_generation\_6\_race.csv &0.681 &0.5395 &-0.0773 &0.0203 &0.0433 &0.4951 &0.0185 &inf &0.1959 \\
adult\_generation\_7\_race.csv &0.7306 &0.5548 &-0.2689 &0.2022 &0.4376 &0.5271 &0.2354 &19.5646 &0.1553 \\
\hline
\textbf{}&\multicolumn{9}{c}{\textbf{KNN}} \\
\textbf{} &Acc &BA &SP &EO &EOd &PP &PE &TE &ABROCA \\
\hline
adult.csv &0.7718 &0.6228 &0.0414 &0.0303 &0.0462 &0.1255 &0.0159 &-0.898 &\textbf{\textcolor{red}{0.0185}} \\
adult\_generation.csv &\textbf{\textcolor{red}{0.6204}} &0.5968 &-0.0292 &0.0812 &0.1106 &0.0839 &0.0294 &-0.3457 &0.0622 \\
