\begin{table}[H]
\begin{center}
\caption{Credit scoring dataset: performance of predictive models. Protected attribute: Age}
\begin{tabular}{c c c c c c c c c c}
\hline
\textbf{Method}&\multicolumn{9}{c}{\textbf{Predictive model}} \\
\hline
\textbf{}&\multicolumn{9}{c}{\textbf{MLP}} \\
\textbf{} &Acc &BA &SP &EO &EOd &PP &PE &TE &ABROCA \\
\hline
Origins &\textbf{\textcolor{red}{0.9978}} &\textbf{\textcolor{red}{0.9897}} &0.0812 &\textbf{\textcolor{red}{0.0036}} &\textbf{\textcolor{red}{0.0292}} &\textbf{\textcolor{red}{0.008}} &0.0256 &\textbf{\textcolor{red}{0.0}} &\textbf{\textcolor{red}{0.0085}} \\
DGGAN &0.9424 &0.791 &0.055 &0.0192 &0.1864 &0.0234 &0.1672 &-4.3942 &0.0703 \\
CTGAN &0.9006 &0.7946 &0.0491 &0.008 &0.0437 &0.0257 &0.0357 &-0.0935 &0.0398 \\
TabFairGan &0.9269 &0.6375 &0.0893 &0.0528 &0.1704 &0.0665 &0.1176 &0.2316 &0.0786 \\
FixedTabFairGanNoSM &0.9333 &0.5151 &\textbf{\textcolor{red}{0.0215}} &0.0186 &0.0643 &0.0307 &0.0457 &0.1555 &0.0871 \\
TabFairGanEOd &0.903 &0.6135 &0.0915 &0.0696 &0.1828 &0.064 &0.1132 &0.409 &0.0744 \\
DGGanEOd &0.895 &0.5661 &0.0796 &0.0816 &0.094 &0.0471 &\textbf{\textcolor{red}{0.0124}} &-1.2188 &0.0894 \\
\hline
\textbf{}&\multicolumn{9}{c}{\textbf{KNN}} \\
\textbf{} &Acc &BA &SP &EO &EOd &PP &PE &TE &ABROCA \\
\hline
Origins &\textbf{\textcolor{red}{0.9809}} &\textbf{\textcolor{red}{0.9108}} &0.0817 &0.0068 &0.0861 &\textbf{\textcolor{red}{0.0155}} &0.0793 &0.0548 &\textbf{\textcolor{red}{0.0267}} \\
DGGAN &0.9626 &0.6007 &0.0138 &\textbf{\textcolor{red}{0.0029}} &0.108 &0.0391 &0.1051 &-0.5832 &0.1151 \\
CTGAN &0.8103 &0.589 &0.024 &0.0209 &0.0823 &0.0539 &0.0615 &-0.0785 &0.0507 \\
TabFairGan &0.931 &0.6204 &0.0682 &0.0245 &0.1822 &0.0623 &0.1577 &0.055 &0.0564 \\
FixedTabFairGanNoSM &0.9342 &0.5097 &\textbf{\textcolor{red}{0.0069}} &0.0082 &0.0237 &0.0337 &0.0154 &0.0139 &0.0292 \\
TabFairGanEOd &0.9029 &0.5874 &0.0471 &0.0412 &0.1106 &0.0765 &0.0694 &0.113 &0.0479 \\
DGGanEOd &0.9273 &0.5116 &0.0126 &0.0125 &\textbf{\textcolor{red}{0.0198}} &0.0619 &\textbf{\textcolor{red}{0.0073}} &\textbf{\textcolor{red}{-0.0103}} &0.0647 \\
\hline
\textbf{}&\multicolumn{9}{c}{\textbf{DT}} \\
\textbf{} &Acc &BA &SP &EO &EOd &PP &PE &TE &ABROCA \\
\hline
Origins &\textbf{\textcolor{red}{0.9983}} &\textbf{\textcolor{red}{0.9899}} &0.0791 &\textbf{\textcolor{red}{0.0001}} &\textbf{\textcolor{red}{0.0257}} &\textbf{\textcolor{red}{0.008}} &\textbf{\textcolor{red}{0.0256}} &\textbf{\textcolor{red}{0.0}} &\textbf{\textcolor{red}{0.0129}} \\
DGGAN &0.9408 &0.7497 &\textbf{\textcolor{red}{0.0484}} &0.0228 &0.2028 &0.0296 &0.18 &-2.5074 &0.0914 \\
CTGAN &0.8697 &0.7968 &0.0845 &0.0366 &0.109 &0.0152 &0.0724 &0.3792 &0.0368 \\
TabFairGan &0.8861 &0.6255 &0.1016 &0.059 &0.2397 &0.0586 &0.1808 &-0.1563 &0.0692 \\
FixedTabFairGanNoSM &0.8839 &0.5467 &0.0646 &0.0594 &0.167 &0.0277 &0.1077 &0.4694 &0.039 \\
TabFairGanEOd &0.8681 &0.6403 &0.0896 &0.067 &0.1325 &0.0621 &0.0655 &0.0028 &0.0298 \\
DGGanEOd &0.8475 &0.5669 &0.1005 &0.0857 &0.179 &0.0351 &0.0933 &0.0511 &0.0503 \\
\hline
\textbf{}&\multicolumn{9}{c}{\textbf{LR}} \\
\textbf{} &Acc &BA &SP &EO &EOd &PP &PE &TE &ABROCA \\
\hline
Origins &\textbf{\textcolor{red}{0.9959}} &\textbf{\textcolor{red}{0.9893}} &0.0809 &0.0049 &0.0321 &\textbf{\textcolor{red}{0.0081}} &0.0272 &\textbf{\textcolor{red}{0.0}} &\textbf{\textcolor{red}{0.0135}} \\
DGGAN &0.9789 &0.8005 &0.0655 &0.0213 &0.3074 &0.0171 &0.2861 &-0.3889 &0.058 \\
CTGAN &0.8973 &0.8083 &0.0708 &0.0175 &0.0992 &0.0185 &0.0817 &0.1921 &0.0355 \\
TabFairGan &0.9399 &0.6338 &0.0806 &0.0242 &0.2503 &0.0502 &0.2261 &0.1731 &0.0451 \\
FixedTabFairGanNoSM &0.94 &0.504 &\textbf{\textcolor{red}{0.0038}} &\textbf{\textcolor{red}{0.0033}} &\textbf{\textcolor{red}{0.0176}} &0.0326 &\textbf{\textcolor{red}{0.0143}} &0.0221 &0.0448 \\
TabFairGanEOd &0.9172 &0.604 &0.0629 &0.0345 &0.1614 &0.0594 &0.1269 &0.2132 &0.0657 \\
DGGanEOd &0.9202 &0.5371 &0.0585 &0.0526 &0.0831 &0.0547 &0.0305 &0.2043 &0.1148 \\
\hline
\end{tabular}
\end{center}
\end{table}
