PAYMENT-DAY,QUANT-ADDITIONAL-CARDS,POSTAL-ADDRESS-TYPE,SEX,MARITAL-STATUS,QUANT-DEPENDANTS,EDUCATION-LEVEL,FLAG-RESIDENCIAL-PHONE,RESIDENCE-TYPE,MONTHS-IN-RESIDENCE,FLAG-MOBILE-PHONE,FLAG-EMAIL,PERSONAL-MONTHLY-INCOME,OTHER-INCOMES,FLAG-VISA,FLAG-MASTERCARD,FLAG-DINERS,FLAG-AMERICAN-EXPRESS,FLAG-OTHER-CARDS,QUANT-BANKING-ACCOUNTS,QUANT-SPECIAL-BANKING-ACCOUNTS,PERSONAL-ASSETS-VALUE,QUANT-CARS,COMPANY,FLAG-PROFESSIONAL-PHONE,MONTHS-IN-THE-JOB,OCCUPATION-TYPE,FLAG-HOME-ADDRESS-DOCUMENT,FLAG-RG,FLAG-CPF,FLAG-INCOME-PROOF,PRODUCT,FLAG-ACSP-RECORD,AGE,class-label
5,0,1,0,6,1,0,Y,1.0,15.0,N,1,900.0,0.0,1,1,0,0,0,0,0,0.0,0,N,N,0,4.0,0,0,0,0,1,N,1,1
15,0,1,0,2,0,0,Y,1.0,1.0,N,1,750.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,N,0,4.0,0,0,0,0,1,N,1,1
10,0,1,1,2,0,0,Y,1.0,12.0,N,1,1200.0,0.0,0,0,0,0,0,0,0,0.0,0,N,N,0,5.0,0,0,0,0,1,N,1,1
10,0,1,1,2,0,0,Y,1.0,4.0,N,1,500.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,N,0,2.0,0,0,0,0,2,N,1,1
15,0,1,0,2,2,0,Y,1.0,1.0,N,1,320.0,0.0,0,0,0,0,0,0,0,0.0,0,N,N,0,4.0,0,0,0,0,1,N,1,1
25,0,1,0,1,0,0,N,1.0,4.0,N,1,489.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,Y,0,2.0,0,0,0,0,1,N,1,0
15,0,1,0,1,0,0,Y,1.0,0.0,N,1,450.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,N,0,2.0,0,0,0,0,2,N,1,0
5,0,1,0,1,0,0,Y,1.0,5.0,N,1,1507.0,0.0,1,1,0,0,0,1,1,0.0,1,Y,Y,0,2.0,0,0,0,0,1,N,1,0
25,0,1,0,2,0,0,Y,1.0,10.0,N,1,200.0,0.0,0,1,0,0,0,0,0,0.0,0,Y,N,0,4.0,0,0,0,0,1,N,1,0
15,0,1,0,1,1,0,Y,1.0,6.0,N,1,403.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,Y,0,2.0,0,0,0,0,2,N,1,0
