PAYMENT-DAY,QUANT-ADDITIONAL-CARDS,POSTAL-ADDRESS-TYPE,SEX,MARITAL-STATUS,QUANT-DEPENDANTS,EDUCATION-LEVEL,FLAG-RESIDENCIAL-PHONE,RESIDENCE-TYPE,MONTHS-IN-RESIDENCE,FLAG-MOBILE-PHONE,FLAG-EMAIL,PERSONAL-MONTHLY-INCOME,OTHER-INCOMES,FLAG-VISA,FLAG-MASTERCARD,FLAG-DINERS,FLAG-AMERICAN-EXPRESS,FLAG-OTHER-CARDS,QUANT-BANKING-ACCOUNTS,QUANT-SPECIAL-BANKING-ACCOUNTS,PERSONAL-ASSETS-VALUE,QUANT-CARS,COMPANY,FLAG-PROFESSIONAL-PHONE,MONTHS-IN-THE-JOB,OCCUPATION-TYPE,FLAG-HOME-ADDRESS-DOCUMENT,FLAG-RG,FLAG-CPF,FLAG-INCOME-PROOF,PRODUCT,FLAG-ACSP-RECORD,AGE,class-label
25.0,0.0,1.0,0,0.0,0.0,0.0,Y,1.0,0.0,N,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,N,N,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N,1,1
10.0,0.0,1.0,0,2.0,4.0,0.0,Y,1.0,1.0,N,1.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,N,0.0,2.0,0.0,0.0,0.0,0.0,1.0,N,1,1
15.0,0.0,1.0,0,7.0,0.0,0.0,N,1.0,1.0,N,1.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,N,0.0,5.0,0.0,0.0,0.0,0.0,1.0,N,1,0
15.0,0.0,1.0,0,4.0,0.0,0.0,Y,1.0,11.0,N,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Y,Y,0.0,2.0,0.0,0.0,0.0,0.0,1.0,N,0,0
10.0,0.0,1.0,0,1.0,0.0,0.0,Y,1.0,4.0,N,1.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,N,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N,0,1
20.0,0.0,1.0,0,2.0,0.0,0.0,Y,1.0,1.0,N,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Y,Y,0.0,2.0,0.0,0.0,0.0,0.0,1.0,N,1,0
10.0,0.0,1.0,0,2.0,0.0,0.0,N,1.0,0.0,N,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,N,N,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N,1,1
5.0,0.0,1.0,0,2.0,2.0,0.0,Y,1.0,2.0,N,1.0,484.87912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,Y,0.0,4.0,0.0,0.0,0.0,0.0,1.0,N,1,0
5.0,0.0,1.0,0,2.0,2.0,0.0,Y,1.0,20.0,N,1.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,N,0.0,5.0,0.0,0.0,0.0,0.0,7.0,N,1,1
10.0,0.0,1.0,0,4.0,2.0,0.0,N,1.0,10.0,N,1.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,N,0.0,2.0,0.0,0.0,0.0,0.0,1.0,N,1,0
