PAYMENT-DAY,QUANT-ADDITIONAL-CARDS,POSTAL-ADDRESS-TYPE,SEX,MARITAL-STATUS,QUANT-DEPENDANTS,EDUCATION-LEVEL,FLAG-RESIDENCIAL-PHONE,RESIDENCE-TYPE,MONTHS-IN-RESIDENCE,FLAG-MOBILE-PHONE,FLAG-EMAIL,PERSONAL-MONTHLY-INCOME,OTHER-INCOMES,FLAG-VISA,FLAG-MASTERCARD,FLAG-DINERS,FLAG-AMERICAN-EXPRESS,FLAG-OTHER-CARDS,QUANT-BANKING-ACCOUNTS,QUANT-SPECIAL-BANKING-ACCOUNTS,PERSONAL-ASSETS-VALUE,QUANT-CARS,COMPANY,FLAG-PROFESSIONAL-PHONE,MONTHS-IN-THE-JOB,OCCUPATION-TYPE,FLAG-HOME-ADDRESS-DOCUMENT,FLAG-RG,FLAG-CPF,FLAG-INCOME-PROOF,PRODUCT,FLAG-ACSP-RECORD,AGE,class-label
10,0,1,0,2,1,0,Y,1.0,23,N,0,6372,972,0,0,0,0,0,1,1,7295,1,Y,Y,1,2.0,0,0,0,0,1,N,1,0
20,0,1,1,4,1,0,Y,1.0,1,N,1,1025,-66,0,0,0,0,0,0,0,3722,0,Y,N,0,0.0,0,0,0,0,1,N,1,0
10,0,1,1,4,2,0,Y,2.0,2,N,1,6262,48,0,0,0,0,0,0,1,-1364,1,Y,N,0,5.0,0,0,0,0,1,N,1,0
1,0,1,0,2,1,0,Y,0.0,12,N,0,4466,591,0,1,0,0,0,1,1,-5104,3,N,N,0,4.0,0,0,0,0,1,N,1,0
10,0,1,0,1,1,0,Y,1.0,7,N,1,2736,91,0,1,0,0,0,0,0,3521,1,Y,N,0,5.0,0,0,0,0,1,N,1,0
10,0,1,0,1,2,0,Y,1.0,11,N,1,-59,372,0,0,0,0,0,0,0,4616,0,N,N,0,5.0,0,0,0,0,1,N,1,0
25,0,1,1,0,2,0,Y,1.0,13,N,0,5023,453,0,0,0,0,0,1,1,-10766,2,Y,N,0,4.0,0,0,0,0,1,N,1,0
1,0,1,0,6,1,0,Y,1.0,6,N,1,35,532,0,0,0,0,0,0,0,4627,0,N,N,1,0.0,0,0,0,0,1,N,1,0
10,0,1,0,0,1,0,Y,1.0,13,N,0,3645,463,0,0,0,0,0,1,0,9975,1,Y,Y,1,5.0,0,0,0,0,1,N,1,0
1,0,1,0,7,2,0,N,1.0,8,N,1,-1094,358,1,1,0,1,0,0,0,9086,0,Y,N,0,5.0,0,0,0,0,1,N,1,1
