Age,Language,Sex,Marital,Has-Credit,Field,Month-of-birth,Day-of-birth,Region,Number_of_credits,Linked-cards,INPS_mln_sum,INPS-yes-no,Score-level,Score-class,Score_point,Changed-phone-number,class-label
39,1,2,4,1,13,8,2,14,2,1,2,1,0,6,39,0,0
35,1,1,4,1,4,7,1,13,2,1,2,1,0,0,-26,1,0
36,1,1,7,1,2,10,1,13,2,3,3,1,0,7,117,0,1
43,2,2,5,2,18,5,1,13,1,0,2,0,4,8,57,0,1
37,1,2,4,1,13,5,1,6,2,1,3,1,0,6,92,0,1
26,1,1,4,1,16,7,1,13,2,1,0,1,0,0,40,0,1
38,1,2,4,1,0,5,2,12,2,1,2,1,0,2,51,2,1
44,1,2,6,1,12,4,1,12,2,1,3,1,2,10,92,0,1
38,1,1,1,2,3,4,1,5,1,1,4,1,0,6,74,2,1
34,1,1,5,1,13,8,2,13,2,1,4,1,0,0,31,0,1
34,2,1,1,1,0,2,2,3,2,1,2,0,3,0,52,1,1
27,1,2,2,1,11,9,1,3,2,1,-2,0,0,0,40,0,1
36,2,1,2,1,12,3,1,7,2,1,2,1,0,0,135,0,1
40,1,2,4,1,18,5,2,12,2,1,3,1,2,8,90,0,1
31,1,2,2,1,5,9,1,12,1,3,0,0,2,8,97,1,1
36,1,2,5,1,13,7,1,2,2,1,1,1,0,6,120,0,1
37,2,1,4,1,0,2,1,3,2,1,3,1,4,0,90,0,1
46,2,2,1,1,1,6,1,12,2,1,2,1,0,11,91,0,1
40,1,2,5,1,12,3,2,8,1,3,1,1,2,6,87,0,1
34,2,1,1,1,16,3,2,3,1,1,-1,0,0,0,55,0,0
34,1,1,3,1,2,12,1,3,2,3,2,1,1,2,79,0,1
33,1,2,4,1,13,6,2,13,2,1,2,1,4,0,79,0,1
43,2,2,2,1,15,2,1,3,2,3,2,0,4,8,108,2,1
41,2,2,1,1,14,7,2,9,2,1,4,1,4,5,35,1,1
29,1,1,2,1,5,9,1,3,1,3,-1,0,0,0,44,3,1
38,1,2,1,2,20,4,1,13,2,1,3,0,0,9,25,0,1
27,1,2,2,2,16,8,1,2,1,0,0,0,4,2,54,0,1
37,1,1,2,1,10,4,1,9,2,1,2,1,0,10,44,0,1
47,1,1,4,1,12,11,1,7,2,1,3,1,0,5,110,0,1
46,1,2,5,1,16,5,1,8,1,4,2,1,2,0,134,0,1
27,1,2,4,1,16,7,1,6,2,2,2,0,0,2,84,1,1
46,1,1,5,1,13,8,2,12,2,1,4,0,1,9,9,0,1
43,2,1,5,1,19,3,1,10,1,0,1,0,0,0,96,3,1
32,1,2,4,1,13,9,1,9,2,2,0,1,0,0,25,0,1
45,1,1,2,2,15,8,1,12,2,0,2,0,2,7,20,1,1
41,1,2,4,1,18,8,2,12,2,3,4,1,4,6,21,0,1
45,1,2,4,1,13,5,2,13,2,2,2,1,2,10,51,0,1
46,1,1,4,2,3,8,1,5,2,1,2,1,1,10,65,2,1
40,1,2,5,1,4,1,1,13,2,1,2,1,0,0,61,0,1
28,1,2,4,1,6,3,1,13,1,1,1,1,0,0,86,0,1
